submission,strategy,checkpoint,timestamp,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
522830 (rohan),round4_candidate_1_522830_base.py,0,0,10008.0,5295.5,1296.0,795.5,296.5,201.5,119.5,58.0,20.5,7.0,0.5,0.5
522830 (rohan),round4_candidate_1_522830_base.py,10000,10000,9995.0,5296.5,1296.5,796.5,297.5,202.5,120.0,58.5,20.5,7.0,0.5,0.5
522830 (rohan),round4_candidate_1_522830_base.py,20000,20000,10012.0,5276.5,1276.5,776.5,278.0,184.5,105.5,49.0,16.5,5.5,0.5,0.5
522830 (rohan),round4_candidate_1_522830_base.py,30000,30000,10034.5,5267.0,1268.5,768.5,270.5,177.5,100.5,46.0,15.0,4.5,0.5,0.5
522830 (rohan),round4_candidate_1_522830_base.py,40000,40000,10030.0,5260.5,1260.5,760.0,262.0,170.0,94.5,42.0,13.5,4.5,0.5,0.5
522830 (rohan),round4_candidate_1_522830_base.py,41000,41000,10036.0,5250.5,1250.5,751.0,253.0,162.0,88.5,39.0,11.5,3.5,0.5,0.5
522830 (rohan),round4_candidate_1_522830_base.py,50000,50000,10042.0,5253.0,1252.5,753.0,255.0,164.0,89.5,40.0,12.0,3.5,0.5,0.5
522830 (rohan),round4_candidate_1_522830_base.py,60000,60000,10056.0,5252.5,1252.5,753.0,255.0,163.0,89.0,39.0,12.0,3.5,0.5,0.5
522830 (rohan),round4_candidate_1_522830_base.py,70000,70000,10043.0,5257.0,1256.5,757.0,259.0,167.0,91.5,41.0,12.5,3.5,0.5,0.5
522830 (rohan),round4_candidate_1_522830_base.py,80000,80000,10044.0,5260.0,1260.0,760.0,262.0,169.5,93.5,42.0,13.0,4.5,0.5,0.5
522830 (rohan),round4_candidate_1_522830_base.py,85000,85000,10046.0,5247.0,1248.5,748.0,251.0,160.0,85.5,37.5,11.5,3.5,0.5,0.5
522830 (rohan),round4_candidate_1_522830_base.py,90000,90000,10042.5,5248.5,1248.5,748.0,251.0,159.0,85.5,37.5,11.0,3.5,0.5,0.5
522830 (rohan),round4_candidate_1_522830_base.py,99900,99900,10017.0,5253.5,1253.5,754.0,256.0,164.0,88.5,39.0,11.5,3.5,0.5,0.5
