assumed_extra_access_value,bid,conditional_net_if_accepted
500,1001,-501
500,2001,-1501
500,3001,-2501
500,4001,-3501
500,5001,-4501
500,7501,-7001
500,10001,-9501
500,15001,-14501
500,20001,-19501
1000,1001,-1
1000,2001,-1001
1000,3001,-2001
1000,4001,-3001
1000,5001,-4001
1000,7501,-6501
1000,10001,-9001
1000,15001,-14001
1000,20001,-19001
2000,1001,999
2000,2001,-1
2000,3001,-1001
2000,4001,-2001
2000,5001,-3001
2000,7501,-5501
2000,10001,-8001
2000,15001,-13001
2000,20001,-18001
3000,1001,1999
3000,2001,999
3000,3001,-1
3000,4001,-1001
3000,5001,-2001
3000,7501,-4501
3000,10001,-7001
3000,15001,-12001
3000,20001,-17001
5000,1001,3999
5000,2001,2999
5000,3001,1999
5000,4001,999
5000,5001,-1
5000,7501,-2501
5000,10001,-5001
5000,15001,-10001
5000,20001,-15001
8000,1001,6999
8000,2001,5999
8000,3001,4999
8000,4001,3999
8000,5001,2999
8000,7501,499
8000,10001,-2001
8000,15001,-7001
8000,20001,-12001
10000,1001,8999
10000,2001,7999
10000,3001,6999
10000,4001,5999
10000,5001,4999
10000,7501,2499
10000,10001,-1
10000,15001,-5001
10000,20001,-10001
15000,1001,13999
15000,2001,12999
15000,3001,11999
15000,4001,10999
15000,5001,9999
15000,7501,7499
15000,10001,4999
15000,15001,-1
15000,20001,-5001
20000,1001,18999
20000,2001,17999
20000,3001,16999
20000,4001,15999
20000,5001,14999
20000,7501,12499
20000,10001,9999
20000,15001,4999
20000,20001,-1
