target_pnl,fills,avg_edge_per_fill,avg_edge_per_unit_if_fill_size_10
10000,500,20.0,2.0
10000,1000,10.0,1.0
10000,2500,4.0,0.4
10000,5000,2.0,0.2
10000,10000,1.0,0.1
10000,25000,0.4,0.04
50000,500,100.0,10.0
50000,1000,50.0,5.0
50000,2500,20.0,2.0
50000,5000,10.0,1.0
50000,10000,5.0,0.5
50000,25000,2.0,0.2
100000,500,200.0,20.0
100000,1000,100.0,10.0
100000,2500,40.0,4.0
100000,5000,20.0,2.0
100000,10000,10.0,1.0
100000,25000,4.0,0.4
150000,500,300.0,30.0
150000,1000,150.0,15.0
150000,2500,60.0,6.0
150000,5000,30.0,3.0
150000,10000,15.0,1.5
150000,25000,6.0,0.6
250000,500,500.0,50.0
250000,1000,250.0,25.0
250000,2500,100.0,10.0
250000,5000,50.0,5.0
250000,10000,25.0,2.5
250000,25000,10.0,1.0
450000,500,900.0,90.0
450000,1000,450.0,45.0
450000,2500,180.0,18.0
450000,5000,90.0,9.0
450000,10000,45.0,4.5
450000,25000,18.0,1.8
