category,dp_taker_sum,dp_taker_day4,range_sum,best_entry_to_end_sum,h50_sum,products
PEBBLES,14557480.0,4833895.0,394015.0,213530.0,3007524.9,5
MICROCHIP,11510365.0,3690400.0,314730.0,224785.0,2305415.5,5
SLEEP_POD,8107300.0,2864555.0,252080.0,129880.0,1882899.0,5
ROBOT,8046085.0,2749930.0,209780.0,103145.0,1640502.7000000002,5
TRANSLATOR,7255095.0,2425965.0,218560.0,111505.0,1652120.4,5
PANEL,7009370.0,2310145.0,245360.0,122890.0,1663775.8,5
GALAXY_SOUNDS,6669130.0,2276720.0,255850.0,123380.0,1833575.5,5
OXYGEN_SHAKE,6352175.0,2166035.0,240190.0,118635.0,1685147.7,5
UV_VISOR,6372840.0,2138445.0,229330.0,113250.0,1723324.3,5
SNACKPACK,2901770.0,949360.0,117705.0,29150.0,1124664.0,5
