product,category,anchor_type,anchor,side,horizon,full_proxy,portal_proxy,avg_pnl,hit_rate,count,portal_count
MICROCHIP_SQUARE,MICROCHIP,round_250,14250.0,sell_high,100,325332.5,260965.0,35.6022,0.5491,9138,4630
MICROCHIP_SQUARE,MICROCHIP,round_250,14250.0,two_sided,100,709756.0,260226.5,33.716,0.5579,21051,4689
MICROCHIP_SQUARE,MICROCHIP,round_1000,14000.0,two_sided,100,562221.0,254447.5,23.8149,0.5401,23608,6333
MICROCHIP_SQUARE,MICROCHIP,round_1000,14000.0,sell_high,100,205478.5,254447.5,16.9691,0.5168,12109,6333
MICROCHIP_SQUARE,MICROCHIP,median,14291.0,sell_high,100,322073.0,252559.5,36.7705,0.5497,8759,4407
MICROCHIP_SQUARE,MICROCHIP,round_1,14291.0,sell_high,100,322073.0,252559.5,36.7705,0.5497,8759,4407
MICROCHIP_SQUARE,MICROCHIP,round_5,14290.0,sell_high,100,321946.5,252068.0,36.7225,0.5496,8767,4413
MICROCHIP_SQUARE,MICROCHIP,round_10,14290.0,sell_high,100,321946.5,252068.0,36.7225,0.5496,8767,4413
MICROCHIP_SQUARE,MICROCHIP,round_25,14300.0,sell_high,100,320001.0,249712.0,36.7648,0.5496,8704,4373
MICROCHIP_SQUARE,MICROCHIP,round_50,14300.0,sell_high,100,320001.0,249712.0,36.7648,0.5496,8704,4373
MICROCHIP_SQUARE,MICROCHIP,round_100,14300.0,sell_high,100,320001.0,249712.0,36.7648,0.5496,8704,4373
MICROCHIP_SQUARE,MICROCHIP,median,14291.0,two_sided,100,711671.5,248324.5,34.2759,0.5583,20763,4491
MICROCHIP_SQUARE,MICROCHIP,round_1,14291.0,two_sided,100,711671.5,248324.5,34.2759,0.5583,20763,4491
MICROCHIP_SQUARE,MICROCHIP,round_5,14290.0,two_sided,100,711579.5,247982.5,34.2616,0.5582,20769,4496
MICROCHIP_SQUARE,MICROCHIP,round_10,14290.0,two_sided,100,711579.5,247982.5,34.2616,0.5582,20769,4496
MICROCHIP_SQUARE,MICROCHIP,round_25,14300.0,two_sided,100,709219.0,245289.0,34.2205,0.5582,20725,4458
MICROCHIP_SQUARE,MICROCHIP,round_50,14300.0,two_sided,100,709219.0,245289.0,34.2205,0.5582,20725,4458
MICROCHIP_SQUARE,MICROCHIP,round_100,14300.0,two_sided,100,709219.0,245289.0,34.2205,0.5582,20725,4458
MICROCHIP_SQUARE,MICROCHIP,10000,10000.0,two_sided,100,-244326.5,242427.5,-8.8271,0.4664,27679,9900
MICROCHIP_SQUARE,MICROCHIP,10000,10000.0,sell_high,100,-244326.5,242427.5,-8.8271,0.4664,27679,9900
