product,fill_count,buy_qty,sell_qty,avg_fill_qty,avg_fill_price,max_abs_inventory,end_window_trade_qty,avg_markout_10,avg_markout_50,strategy,scope,category,component
PEBBLES_L,1,10,0,10.0,11022.0,10,0,-75.0,-95.0,round5_candidate_16.py,portal,PEBBLES,pebbles
PEBBLES_M,1,0,10,10.0,11059.0,10,0,-22.0,-137.0,round5_candidate_16.py,portal,PEBBLES,pebbles
PEBBLES_S,17,69,59,7.529411764705882,8681.235294117647,10,0,-5.382352941176471,88.85714285714286,round5_candidate_16.py,portal,PEBBLES,pebbles
PEBBLES_XL,1,10,0,10.0,12062.0,10,0,92.0,271.5,round5_candidate_16.py,portal,PEBBLES,pebbles
PEBBLES_XS,1,10,0,10.0,6866.0,10,0,-21.5,-125.5,round5_candidate_16.py,portal,PEBBLES,pebbles
PEBBLES_L,34,160,130,8.529411764705882,10427.617647058823,30,0,-17.602941176470587,-25.735294117647058,round5_candidate_16.py,full,PEBBLES,pebbles
PEBBLES_M,45,193,203,8.8,10000.955555555556,20,0,-13.277777777777779,1.6111111111111112,round5_candidate_16.py,full,PEBBLES,pebbles
PEBBLES_S,89,354,384,8.292134831460674,8626.707865168539,30,0,-2.3820224719101124,16.97752808988764,round5_candidate_16.py,full,PEBBLES,pebbles
PEBBLES_XL,59,223,233,7.728813559322034,11395.610169491525,20,0,-14.389830508474576,-14.042372881355933,round5_candidate_16.py,full,PEBBLES,pebbles
PEBBLES_XS,74,294,304,8.08108108108108,8036.027027027027,20,0,-10.66891891891892,-2.222972972972973,round5_candidate_16.py,full,PEBBLES,pebbles
GALAXY_SOUNDS_PLANETARY_RINGS,9,8,18,2.888888888888889,11135.222222222223,10,0,15.0625,25.0625,round5_candidate_21.py,portal,GALAXY_SOUNDS,long_horizon_non_pebbles
MICROCHIP_OVAL,9,7,15,2.4444444444444446,7310.777777777777,10,0,9.444444444444445,54.875,round5_candidate_21.py,portal,MICROCHIP,long_horizon_non_pebbles
MICROCHIP_SQUARE,11,10,14,2.1818181818181817,15753.0,8,0,34.59090909090909,52.4,round5_candidate_21.py,portal,MICROCHIP,long_horizon_non_pebbles
MICROCHIP_TRIANGLE,8,4,14,2.25,9325.25,10,0,24.4375,17.875,round5_candidate_21.py,portal,MICROCHIP,long_horizon_non_pebbles
OXYGEN_SHAKE_EVENING_BREATH,11,20,10,2.727272727272727,9380.454545454546,10,0,10.454545454545455,7.7272727272727275,round5_candidate_21.py,portal,OXYGEN_SHAKE,long_horizon_non_pebbles
ROBOT_IRONING,8,14,8,2.75,7756.5,10,0,15.75,33.25,round5_candidate_21.py,portal,ROBOT,long_horizon_non_pebbles
ROBOT_LAUNDRY,7,7,13,2.857142857142857,9090.0,7,0,10.714285714285714,18.928571428571427,round5_candidate_21.py,portal,ROBOT,long_horizon_non_pebbles
SLEEP_POD_SUEDE,11,17,11,2.5454545454545454,12339.272727272728,10,0,3.4545454545454546,26.0,round5_candidate_21.py,portal,SLEEP_POD,long_horizon_non_pebbles
UV_VISOR_AMBER,6,10,5,2.5,7009.833333333333,5,0,0.08333333333333333,12.75,round5_candidate_21.py,portal,UV_VISOR,long_horizon_non_pebbles
