product,category,best_taker_horizon,taker_oracle,taker_signal_count,taker_avg_edge,best_passive_horizon,passive_oracle,passive_hit_count,passive_avg_markout,best_inventory_horizon,inventory_oracle,inventory_turnover,best_residual_horizon,residual_proxy,residual_ic,engine,engine_proxy_pnl,turnover,regime,regime_oracle,round5_candidate_35,round5_candidate_36,best_current_portal_pnl,oracle_capacity,oracle_gap_vs_best_current,capture_ratio,full_best_engine,full_engine_proxy_pnl,full_engine_turnover,marginal_role,practical_engine_proxy,full_robust_proxy,practical_marginal_proxy_vs_current,raw_oracle_units_not_pnl
PEBBLES_M,PEBBLES,200,845734.0,775,149.78129032258065,200,633512.0,800,159.164375,5,26030.0,3810,100,21735846.75,0.453898968511743,reversal_200,6780.0,150,imbalance_extreme,421977.0,1490.0,1490.0,1490.0,21735846.75,21734356.75,6.855035449677156e-05,reversal_200,11130.0,2080,candidate_addition,6780.0,11130.0,5290.0,21735846.75
SLEEP_POD_SUEDE,SLEEP_POD,100,218559.5,883,85.33975084937713,200,427653.75,800,115.95375,5,19470.0,3840,100,566912.0,0.2164637339762133,reversal_100,2150.0,140,spread_low,244778.5,0.0,0.0,0.0,566912.0,566912.0,0.0,reversal_200,8355.0,2010,candidate_addition,2150.0,8355.0,2150.0,566912.0
PEBBLES_XS,PEBBLES,200,782370.0,787,191.24777636594663,200,785774.5,800,197.355,5,35315.0,4210,100,192082938.25,0.3007887849480648,momentum_100,1760.0,120,imbalance_extreme,332315.25,-1945.0,-672.0,-672.0,192082938.25,192082938.25,0.0,reversal_200,5160.0,1780,candidate_addition,1760.0,5160.0,1760.0,192082938.25
MICROCHIP_SQUARE,MICROCHIP,100,596886.5,871,174.86050516647532,100,488175.0,900,182.59333333333333,5,58325.0,4190,100,773646205.5,0.6769418512735674,reversal_200,4625.0,110,spread_low,353125.25,4123.0,3703.5,4123.0,773646205.5,773642082.5,5.329309406145598e-06,momentum_200,25810.0,1490,candidate_addition,4625.0,25810.0,502.0,773646205.5
PANEL_2X4,PANEL,200,871232.0,787,152.95552731893267,200,592012.25,800,160.093125,5,16070.0,4690,100,124782302.5,0.4364726391682507,momentum_50,2505.0,150,imbalance_extreme,269944.5,0.0,3910.0,3910.0,124782302.5,124778392.5,3.13345716633174e-05,momentum_100,4285.0,3130,candidate_addition,2505.0,4285.0,0.0,124782302.5
PEBBLES_XL,PEBBLES,100,594339.0,874,217.5646453089245,200,1128108.25,800,283.401875,5,82565.0,4230,100,99548375.0,0.4109254938772634,reversal_25,3530.0,500,imbalance_extreme,699764.75,9560.0,9560.0,9560.0,99548375.0,99538815.0,9.603371225296244e-05,reversal_200,53990.0,2260,candidate_addition,3530.0,53990.0,0.0,99548375.0
ROBOT_DISHES,ROBOT,200,431917.5,798,188.70739348370927,200,515584.5,800,195.685625,5,25085.0,3830,100,63108839.0,0.6752184513136653,momentum_25,3235.0,270,spread_low,212287.0,0.0,3717.0,3717.0,63108839.0,63105122.0,5.889824720115672e-05,momentum_200,8490.0,2170,candidate_addition,3235.0,8490.0,0.0,63108839.0
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,200,245975.5,787,142.99364675984754,200,556249.75,800,150.403125,5,19190.0,3910,100,32524561.75,0.3839609245203118,momentum_50,1430.0,150,imbalance_extreme,285153.25,2630.0,2630.0,2630.0,32524561.75,32521931.75,8.086196580342855e-05,reversal_200,7495.0,1950,candidate_addition,1430.0,7495.0,0.0,32524561.75
PANEL_4X4,PANEL,100,103729.5,882,101.90249433106575,200,541591.25,800,147.029375,5,16130.0,4170,100,21883614.25,0.1422487784375709,momentum_100,1360.0,70,imbalance_extreme,264419.5,6026.0,5846.0,6026.0,21883614.25,21877588.25,0.0002753658482167,reversal_200,9540.0,1980,candidate_addition,1360.0,9540.0,0.0,21883614.25
TRANSLATOR_VOID_BLUE,TRANSLATOR,200,307459.0,777,72.93629343629344,200,295066.0,800,80.133125,5,18150.0,4540,100,17523600.25,-0.1166243766443386,reversal_50,1340.0,270,spread_low,215783.0,1375.0,1456.0,1456.0,17523600.25,17522144.25,8.308794877924701e-05,reversal_200,2280.0,1910,candidate_addition,1340.0,2280.0,0.0,17523600.25
