product,category,scope_full,signal_family_full,model_type_full,horizon_full,passive_proxy_pnl_full,taker_proxy_pnl_full,signal_corr_full,positive_days_full,day_count_full,positive_blocks_full,block_count_full,bidirectional_full,best_execution_full,scope_portal,signal_family_portal,model_type_portal,horizon_portal,passive_proxy_pnl_portal,taker_proxy_pnl_portal,signal_corr_portal,positive_days_portal,day_count_portal,positive_blocks_portal,block_count_portal,bidirectional_portal,best_execution_portal,full_oracle_h1,full_oracle_h10,full_oracle_h50,full_oracle_h100,portal_oracle_h1,portal_oracle_h10,portal_oracle_h50,portal_oracle_h100,best_candidate_pnl_full,best_candidate_pnl_portal,worst_candidate_pnl_full,worst_candidate_pnl_portal,mean_spread,median_spread,mean_top_depth,rows,days,oracle_to_executable_capture_ratio,best_portal_proxy,best_full_proxy,classification,strategy_role,classification_reason,targeted_probe_portal_pnl,standalone_tradable,basket_only,signal_anchor_only,exclude,largest_gap,kevin_xeeshan_agree,end_window_liquidation_risk,inventory_path_risk
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,full,breakout_low_reversal,breakout,500,2183201.25,1467826.1999999993,0.12258409785344378,3,3,20,25,0,passive,portal,breakout_high,breakout,500,254006.0,169308.69999999995,0.5228398057953686,1,1,2,2,0,passive,982540.0,5946015.0,15231745.0,23007245.0,34580.0,210140.0,653850.0,922740.0,0.0,0.0,0.0,0.0,13.050833333333333,13.0,18.253466666666668,30000,3,7.34545980335454,254006.0,2183201.25,not_currently_capturable,exclude,prior executable replay status was `no standalone edge found` despite high oracle/proxy; do not integrate without a new mechanism.,,False,False,False,True,34580.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,full,momentum,statistical/time-series,200,1208744.0,865381.4000000001,0.02288366808949362,3,3,12,30,1,passive,portal,rolling_mean_reversion,statistical/time-series,500,151430.75,118831.75,0.7588321629485881,1,1,2,3,0,passive,1097840.0,6630720.0,17425855.0,25670610.0,40195.0,230365.0,430695.0,503450.0,0.0,0.0,0.0,0.0,14.512766666666666,14.0,18.253466666666668,30000,3,3.7674026620226395,151430.75,1208744.0,not_currently_capturable,exclude,"large analytical oracle/proxy remains, but no executable replay has confirmed capture; treat as not currently capturable, not a tradable edge.",,False,False,False,True,40195.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,full,momentum,statistical/time-series,500,1110677.75,1159281.15,0.03732796391299073,2,3,11,28,1,taker,portal,breakout_low_reversal,breakout,500,572065.25,388972.0,0.5272022917227818,1,1,5,5,0,passive,1047105.0,6419035.0,17107875.0,24748540.0,35755.0,215200.0,570665.0,941265.0,29042.0,2296.0,0.0,0.0,13.690033333333334,14.0,18.253466666666668,30000,3,15.999587470283876,572065.25,1159281.15,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.,,False,True,False,False,33459.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,full,momentum,statistical/time-series,500,1453348.25,452438.5,0.09811741850211812,3,3,16,26,1,passive,portal,rolling_mean_reversion,statistical/time-series,500,166265.0,115278.10000000002,0.6825914590613574,1,1,1,4,0,passive,1011625.0,6028485.0,15751965.0,23268870.0,37055.0,207380.0,502950.0,715435.0,0.0,0.0,0.0,0.0,13.301266666666667,14.0,18.253466666666668,30000,3,4.4869788152745915,166265.0,1453348.25,not_currently_capturable,exclude,"prior executable replay status was `no standalone edge found` despite high oracle/proxy; do not integrate without a new mechanism. Portal block stability is weak, so timestamp-block concentration is a major overfit risk.",,False,False,False,True,37055.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,full,breakout_high,breakout,200,1239867.0,1043822.1999999998,0.0635445865081179,2,3,10,29,0,passive,portal,rolling_mean_reversion,statistical/time-series,500,162943.75,128416.05,0.8262347416237791,1,1,2,4,1,passive,1063235.0,6385205.0,16294885.0,23953150.0,33875.0,220555.0,459360.0,573760.0,0.0,0.0,0.0,0.0,14.071533333333333,14.0,18.253466666666668,30000,3,4.8101476014760145,162943.75,1239867.0,not_currently_capturable,exclude,"large analytical oracle/proxy remains, but no executable replay has confirmed capture; treat as not currently capturable, not a tradable edge.",,False,False,False,True,33875.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
SLEEP_POD_SUEDE,SLEEP_POD,full,breakout_high,breakout,500,1287299.5,342245.49999999953,0.12355470013456354,1,3,9,23,0,passive,portal,breakout_low_reversal,breakout,200,132016.0,104535.84999999999,0.5968939329627079,1,1,2,3,0,passive,1492225.0,7156535.0,17481375.0,24732485.0,52630.0,254225.0,530730.0,753550.0,9489.5,1883.0,0.0,0.0,9.949466666666666,10.0,10.913133333333333,30000,3,2.508379251377541,132016.0,1287299.5,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.,,False,True,False,False,50747.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
SLEEP_POD_LAMB_WOOL,SLEEP_POD,full,vol_norm_momentum,statistical/time-series,500,1964235.75,742038.4499999997,0.07764526331117773,2,3,12,22,1,passive,portal,breakout_low_reversal,breakout,500,405395.5,268003.6,0.3621233077658318,1,1,2,2,0,passive,1393170.0,6936355.0,17880730.0,26205670.0,46380.0,232400.0,595950.0,806300.0,0.0,2442.0,-23993.5,0.0,9.4001,10.0,10.873966666666666,30000,3,8.740739542906425,405395.5,1964235.75,conditional_edge,regime-only,portal/integration PnL is positive but full-history attribution is weak or negative; treat as portal-fragile and gate hard.,,False,False,False,False,43938.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
SLEEP_POD_POLYESTER,SLEEP_POD,full,rolling_mean_reversion,statistical/time-series,200,1382338.5,1142934.6500000004,0.0999695476574778,2,3,18,30,1,passive,portal,breakout_low_reversal,breakout,200,369978.0,305604.65000000014,0.6646998970446716,1,1,3,4,0,passive,1561550.0,7512745.0,18285640.0,25704530.0,58200.0,281185.0,705655.0,995570.0,21562.0,2021.5,0.0,0.0,10.2957,11.0,10.877433333333334,30000,3,6.35701030927835,369978.0,1382338.5,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.,,False,True,False,False,56178.5,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
SLEEP_POD_NYLON,SLEEP_POD,full,rolling_mean_reversion,statistical/time-series,500,3184979.25,2294027.1999999993,0.1726819719346398,3,3,19,27,1,passive,portal,rolling_mean_reversion,statistical/time-series,200,107863.0,86238.75000000001,0.46532005073848576,1,1,5,6,1,passive,1240065.0,5994575.0,14876755.0,21417170.0,41030.0,191985.0,478645.0,628470.0,13189.5,759.5,0.0,0.0,8.564666666666668,9.0,11.681666666666667,30000,3,2.6288813063611993,107863.0,3184979.25,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.,,False,True,False,False,40270.5,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
SLEEP_POD_COTTON,SLEEP_POD,full,vol_norm_reversal,statistical/time-series,500,3143458.25,3586771.1999999997,0.046188947669796525,2,3,13,24,1,taker,portal,vol_norm_momentum,statistical/time-series,200,87083.0,46304.149999999994,-0.7177231146682219,1,1,3,3,0,passive,1535525.0,7294145.0,18588770.0,27091885.0,54210.0,265585.0,687475.0,978685.0,6212.0,3154.0,0.0,0.0,10.0502,10.0,10.869766666666667,30000,3,1.606401033019738,87083.0,3586771.1999999997,validated_edge,standalone-tradable,positive integrated/formal replay attribution on portal and full-history support.,6547.0,True,False,False,False,51056.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,manageable in existing replay,passive queue/inventory trap risk
