product,category,regime,rows,regime_oracle,avg_abs_move50,avg_spread
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,imbalance_extreme,950,212123.0,52.49947368421053,14.98
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,imbalance_extreme,950,322713.25,75.54578947368421,13.803157894736842
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,imbalance_extreme,950,281296.75,66.84421052631579,14.097894736842106
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,spread_low,950,226178.5,54.83842105263158,13.554736842105264
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,spread_low,950,247432.0,59.45894736842105,13.48421052631579
MICROCHIP_CIRCLE,MICROCHIP,spread_low,950,113330.75,40.602105263157895,7.7357894736842105
MICROCHIP_OVAL,MICROCHIP,imbalance_extreme,950,196965.25,61.59684210526316,6.774736842105263
MICROCHIP_RECTANGLE,MICROCHIP,imbalance_extreme,950,208857.25,67.92210526315789,7.132631578947368
MICROCHIP_SQUARE,MICROCHIP,spread_low,950,353125.25,132.03947368421052,13.458947368421052
MICROCHIP_TRIANGLE,MICROCHIP,imbalance_extreme,950,188026.75,67.11263157894737,8.311578947368421
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,imbalance_extreme,950,179453.5,43.653684210526315,11.692631578947369
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,spread_low,950,201725.0,48.77368421052632,11.772631578947369
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,imbalance_extreme,950,318238.25,75.1921052631579,14.833684210526316
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,spread_low,950,233016.75,55.52263157894737,12.370526315789474
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,spread_low,950,230056.0,55.03473684210526,12.32
PANEL_1X2,PANEL,spread_low,950,197684.0,47.67473684210526,11.32
PANEL_1X4,PANEL,imbalance_extreme,950,187942.25,46.27473684210526,7.741052631578947
PANEL_2X2,PANEL,imbalance_extreme,950,179022.0,44.148947368421055,8.065263157894737
PANEL_2X4,PANEL,imbalance_extreme,950,269944.5,66.41157894736843,9.661052631578947
PANEL_4X4,PANEL,imbalance_extreme,950,264419.5,64.40105263157895,9.317894736842105
PEBBLES_L,PEBBLES,imbalance_extreme,950,329408.5,76.43157894736842,13.918947368421053
PEBBLES_M,PEBBLES,imbalance_extreme,950,421977.0,96.2078947368421,14.153684210526317
PEBBLES_S,PEBBLES,imbalance_extreme,950,378896.5,85.73947368421052,11.294736842105262
PEBBLES_XL,PEBBLES,imbalance_extreme,950,699764.75,155.73631578947368,15.708421052631579
PEBBLES_XS,PEBBLES,imbalance_extreme,950,332315.25,74.71578947368421,9.186315789473683
ROBOT_DISHES,ROBOT,spread_low,950,212287.0,71.26736842105264,7.465263157894737
ROBOT_IRONING,ROBOT,spread_low,950,107976.5,40.65,5.886315789473684
ROBOT_LAUNDRY,ROBOT,imbalance_extreme,950,170110.75,54.89684210526316,6.753684210526316
ROBOT_MOPPING,ROBOT,spread_low,950,159425.5,58.79157894736842,8.394736842105264
ROBOT_VACUUMING,ROBOT,spread_low,950,146738.5,45.573157894736845,6.497894736842105
SLEEP_POD_COTTON,SLEEP_POD,imbalance_extreme,950,318011.0,77.55105263157894,10.693684210526316
SLEEP_POD_LAMB_WOOL,SLEEP_POD,imbalance_extreme,950,275984.0,67.28473684210526,9.301052631578948
SLEEP_POD_NYLON,SLEEP_POD,spread_low,950,221381.25,54.59315789473684,8.65578947368421
SLEEP_POD_POLYESTER,SLEEP_POD,imbalance_extreme,950,327219.75,79.73157894736842,11.127368421052632
SLEEP_POD_SUEDE,SLEEP_POD,spread_low,950,244778.5,60.997894736842106,10.609473684210526
SNACKPACK_CHOCOLATE,SNACKPACK,spread_low,950,127968.0,34.95894736842105,16.391578947368423
SNACKPACK_PISTACHIO,SNACKPACK,imbalance_extreme,950,98425.25,28.15473684210526,15.678947368421053
SNACKPACK_RASPBERRY,SNACKPACK,imbalance_extreme,950,174653.0,45.15631578947369,16.92421052631579
SNACKPACK_STRAWBERRY,SNACKPACK,imbalance_extreme,950,160919.75,42.74578947368421,17.923157894736843
SNACKPACK_VANILLA,SNACKPACK,imbalance_extreme,950,121111.25,33.643157894736845,16.771578947368422
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,imbalance_extreme,950,221473.25,54.409473684210525,8.333684210526316
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,spread_low,950,200860.75,50.02842105263158,8.614736842105263
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,imbalance_extreme,950,285153.25,69.16473684210526,9.807368421052631
TRANSLATOR_SPACE_GRAY,TRANSLATOR,imbalance_extreme,950,257782.75,62.94578947368421,8.818947368421053
TRANSLATOR_VOID_BLUE,TRANSLATOR,spread_low,950,215783.0,53.497368421052634,9.377894736842105
UV_VISOR_AMBER,UV_VISOR,imbalance_extreme,950,222927.25,51.98894736842105,9.298947368421052
UV_VISOR_MAGENTA,UV_VISOR,imbalance_extreme,950,316403.5,74.13315789473684,14.18421052631579
UV_VISOR_ORANGE,UV_VISOR,imbalance_extreme,950,252165.75,60.16,13.236842105263158
UV_VISOR_RED,UV_VISOR,spread_low,950,252017.25,60.63421052631579,14.322105263157894
UV_VISOR_YELLOW,UV_VISOR,spread_low,950,245699.75,59.671578947368424,15.242105263157894
