product,category,candidate35_portal_pnl,best_probe_portal_pnl,best_probe,classification,oracle_capacity_units,practical_engine_proxy,coverage_role,notes
PEBBLES_XS,PEBBLES,-1945.0,3674.0,probe_c36_focus_gap_signals.py,gated_add,192082938.25,1760.0,active_trade,"Fair-value core trades it but portal PnL is negative; boost/taker variants hurt, so keep only in balanced FV core or information branch."
PEBBLES_S,PEBBLES,11719.0,11719.0,probe_c35_stack_broad_gated.py,validated_add,65112194.75,4310.0,active_trade,Strong PEBBLES fair-value leg; preserve current candidate 35 logic.
PEBBLES_M,PEBBLES,1490.0,3343.0,probe_peb_mlx_boost_passive.py,validated_add,21735846.75,6780.0,active_trade,Positive in core; undercapture probes improved some variants but aggressive boost damaged full/portal balance.
PEBBLES_L,PEBBLES,-660.0,510.0,probe_branch_robust_conservative_robot_vtight.py,validated_add,626231.5,3550.0,active_trade,"Direct FV is weak, but dual-anchor execution converts it to positive portal and improves full; use anchor role, not FV overlay."
PEBBLES_XL,PEBBLES,9560.0,9560.0,probe_c35_stack_broad_gated.py,validated_add,99548375.0,3530.0,active_trade,Strongest PEBBLES FV leg; preserve core.
MICROCHIP_CIRCLE,MICROCHIP,0.0,236.0,probe_micro_panel_hybrid.py,exclude,296057.0,1885.0,exclude,Passive/hybrid probes were toxic or portal-only; high oracle not executable yet.
MICROCHIP_OVAL,MICROCHIP,4379.0,5017.0,probe_c36_no_panel_extras.py,validated_add,28886357.25,1450.0,active_trade,Stable positive base microchip leg.
MICROCHIP_SQUARE,MICROCHIP,4123.0,4123.0,probe_c35_stack_broad_gated.py,validated_add,773646205.5,4625.0,active_trade,"Stable positive base leg; hybrid retune was toxic, so preserve current config."
MICROCHIP_RECTANGLE,MICROCHIP,2666.0,2666.0,probe_c35_stack_broad_gated.py,validated_add,27485998.0,2280.0,active_trade,Positive base leg; no stronger add-on found.
MICROCHIP_TRIANGLE,MICROCHIP,0.0,4176.0,probe_c35_stack_anchor_microtri_uvamber.py,gated_add,17064172.75,2485.0,active_trade,"Portal-upside hybrid adds about +4.2k, but full score drops materially; use only in portal/upside branch or with stronger gate."
PANEL_1X2,PANEL,2827.0,2968.0,probe_c36_no_micro_extras.py,validated_add,4833019.0,1135.0,active_trade,Stable positive panel leg.
PANEL_1X4,PANEL,2427.0,3587.0,probe_c36_no_micro_extras.py,validated_add,5658601.0,1270.0,active_trade,Stable positive panel leg.
PANEL_2X2,PANEL,1457.0,3150.0,probe_c36_more_pebbles.py,validated_add,724531.5,940.0,active_trade,"Positive in candidate 35, but weaker than other panel legs."
PANEL_2X4,PANEL,0.0,3773.0,probe_c36_more_pebbles.py,validated_add,124782302.5,2505.0,active_trade,Previously unused by 35; clean probes add about +1.8k portal and full stays strong.
PANEL_4X4,PANEL,6026.0,6482.0,probe_pivot_robust_sleep_panel.py,validated_add,21883614.25,1360.0,active_trade,Strong existing panel leg.
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,3446.0,3446.0,probe_c35_stack_broad_gated.py,validated_add,1823226.5,1660.0,active_trade,Stable positive existing OXYGEN leg.
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,290.0,870.0,probe_struct_robust_leadlag_oxygen_snack.py,gated_add,8419277.5,980.0,active_trade,Small positive in current 35; no larger robust conversion found.
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,211.5,1742.0,probe_c36_plus_c35_clean_signals.py,gated_add,3819913.0,555.0,active_trade,Small positive only; keep low weight or use as conditional.
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,1841.0,2058.0,probe_pivot_robust_fresh_oracle_all.py,validated_add,12659800.75,360.0,active_trade,Positive existing OXYGEN leg.
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,3442.0,4332.0,probe_c36_no_panel_extras.py,validated_add,82666517.0,3380.0,active_trade,Strong existing OXYGEN leg.
UV_VISOR_YELLOW,UV_VISOR,782.0,782.0,probe_c35_stack_broad_gated.py,gated_add,29607340.5,1620.0,active_trade,Small positive in 35 but full proxy fragile; keep only as current low-weight leg.
UV_VISOR_AMBER,UV_VISOR,0.0,4887.0,probe_grid_micro_uv_uv_only_loose.py,gated_add,67393530.0,3710.0,active_trade,"Portal-upside hybrid adds about +4.9k, but full score drops materially; use only in portal/upside branch or with stronger gate."
UV_VISOR_ORANGE,UV_VISOR,3959.0,4249.0,probe_c36_no_panel_extras.py,validated_add,48452517.75,1610.0,active_trade,Strong existing UV leg.
UV_VISOR_RED,UV_VISOR,3135.0,3135.0,probe_c35_stack_broad_gated.py,validated_add,5045684.0,-70.0,active_trade,Positive existing UV leg.
UV_VISOR_MAGENTA,UV_VISOR,0.0,136.0,probe_sleep_uv_snack.py,exclude,7245362.0,2380.0,exclude,Tiny portal contribution in broad probes and negative full proxy; do not include robust branch.
ROBOT_DISHES,ROBOT,0.0,5700.0,probe_c36_no_panel_extras.py,gated_add,63108839.0,3235.0,active_trade,Hybrid adds about +2.3k portal but crushes full score; likely execution/fill edge that needs a dedicated gate.
ROBOT_MOPPING,ROBOT,0.0,1622.0,probe_c36_focus_gap_signals.py,gated_add,116594740.25,490.0,active_trade,Small/unstable; candidate 36 uses it but c35 add-on is not convincing.
ROBOT_LAUNDRY,ROBOT,0.0,5180.0,probe_c36_no_uv_extras.py,exclude,859236.5,2975.0,exclude,Toxic in c35-compatible probes despite c36 portal positives; do not add to robust stack.
ROBOT_IRONING,ROBOT,2524.0,2524.0,probe_c35_stack_broad_gated.py,validated_add,70165618.0,1490.0,active_trade,Stable existing robot leg.
ROBOT_VACUUMING,ROBOT,0.0,1358.5,probe_c35_stack_broad_gated.py,validated_add,15768240.0,910.0,active_trade,Clean c35 stack converts it into +1.36k portal and full remains strong.
SLEEP_POD_COTTON,SLEEP_POD,3154.0,6547.0,probe_pivot_robust_sleep_oxygen_oracle.py,validated_add,4641104.0,2820.0,active_trade,Stable existing sleep leg.
SLEEP_POD_POLYESTER,SLEEP_POD,1976.5,2493.5,probe_struct_robust_leadlag_curve_panel_sleep.py,validated_add,38816712.0,705.0,active_trade,Stable existing sleep leg.
SLEEP_POD_SUEDE,SLEEP_POD,0.0,1989.0,probe_struct_robust_curve_sleep.py,validated_add,566912.0,2150.0,active_trade,Previously unused; clean stack adds +1.88k portal and survives full validation.
SLEEP_POD_LAMB_WOOL,SLEEP_POD,2269.0,5685.0,probe_c36_no_uv_extras.py,validated_add,25535910.0,1420.0,active_trade,Positive existing sleep leg.
SLEEP_POD_NYLON,SLEEP_POD,1043.5,2063.0,probe_pivot_portal_fresh_oracle_all.py,validated_add,103549642.5,670.0,active_trade,"Positive existing sleep leg, lower edge."
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,2630.0,2884.0,probe_struct_portal_leadlag_trans_galaxy.py,validated_add,32524561.75,1430.0,active_trade,Stable existing translator leg.
TRANSLATOR_VOID_BLUE,TRANSLATOR,1375.0,2607.0,probe_struct_portal_leadlag_all_fresh.py,validated_add,17523600.25,1340.0,active_trade,Stable existing translator leg.
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,0.0,2588.0,probe_branch_robust_conservative_robot_vtight.py,validated_add,40747800.5,-70.0,active_trade,Previously unused; clean stack adds +2.59k portal with strong full result.
TRANSLATOR_SPACE_GRAY,TRANSLATOR,2807.0,7195.0,probe_c36_no_micro_extras.py,validated_add,1066598.0,4965.0,active_trade,Stable existing translator leg.
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,-1375.0,3674.0,probe_branch_robust_conservative_robot_vtight.py,validated_add,17568477.5,955.0,active_trade,"Signal version was negative, but 10k anchor execution adds about +5k portal; use anchor engine, not old signal."
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,4625.0,6772.0,probe_c36_plus_c35_clean_signals.py,validated_add,22706910.0,3630.0,active_trade,Stable existing galaxy leg.
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,2208.0,2208.0,probe_c35_stack_broad_gated.py,validated_add,11286600.0,410.0,active_trade,Stable existing galaxy leg.
