target,category,kind,peers,coefs,full_resid_std,portal_resid_std,full_reversion_proxy,portal_reversion_proxy,signal_count,portal_signal_count,day2_proxy,day3_proxy,day4_proxy,stability_min_day
PEBBLES_XL,PEBBLES,small_int_dev,PEBBLES_M|MICROCHIP_CIRCLE,3|-2,2730.6008,2866.9249,712214.5,453227.5,4145,1714,44618.5,214368.5,453227.5,44618.5
MICROCHIP_SQUARE,MICROCHIP,small_int_dev,PEBBLES_XL|PEBBLES_M,3|-2,4415.6522,4727.0156,786481.5,449352.5,3170,2556,226739.5,110389.5,449352.5,110389.5
PEBBLES_XL,PEBBLES,small_int_dev,PEBBLES_L|PEBBLES_M,3|2,3138.7708,3430.6758,697844.5,444722.0,3326,1292,86772.0,166350.5,444722.0,86772.0
MICROCHIP_SQUARE,MICROCHIP,small_int_dev,MICROCHIP_TRIANGLE|PEBBLES_XL,3|2,2636.7272,2362.5333,612595.5,424458.0,3480,1550,20637.0,167500.5,424458.0,20637.0
PEBBLES_XL,PEBBLES,small_int_dev,MICROCHIP_SQUARE|GALAXY_SOUNDS_SOLAR_FLAMES,2|-3,3384.7886,2966.2256,552771.5,422842.0,4603,2218,35933.5,93996.0,422842.0,35933.5
MICROCHIP_SQUARE,MICROCHIP,small_int_dev,MICROCHIP_OVAL|PEBBLES_XL,3|2,4260.4121,1874.264,534031.5,414209.0,3967,1979,98107.5,21715.0,414209.0,21715.0
PEBBLES_S,PEBBLES,small_int_dev,PEBBLES_XL|UV_VISOR_AMBER,-3|-3,3067.6212,3775.1784,708834.5,408949.0,3752,2969,202127.5,97758.0,408949.0,97758.0
MICROCHIP_SQUARE,MICROCHIP,small_int_dev,MICROCHIP_TRIANGLE|PEBBLES_XL,2|3,3709.6188,4066.143,709253.5,404426.0,4224,2432,312904.0,-8076.5,404426.0,-8076.5
PEBBLES_S,PEBBLES,small_int_dev,PEBBLES_L|ROBOT_MOPPING,-3|-2,2631.0418,2966.7684,418883.0,394413.0,4533,2977,8577.0,15893.0,394413.0,8577.0
MICROCHIP_OVAL,MICROCHIP,small_int_dev,MICROCHIP_TRIANGLE|PEBBLES_L,2|-3,1782.1694,2039.7903,591527.0,393086.0,4697,3042,105768.5,92672.5,393086.0,92672.5
ROBOT_MOPPING,ROBOT,small_int_dev,ROBOT_VACUUMING|PEBBLES_L,-1|-3,2023.1874,2438.3249,484791.5,381836.5,5033,3394,50995.0,51960.0,381836.5,50995.0
MICROCHIP_SQUARE,MICROCHIP,small_int_dev,PEBBLES_XL|PEBBLES_S,3|3,3005.7506,3496.8809,679065.0,381820.5,3277,1952,312495.0,-15250.5,381820.5,-15250.5
PEBBLES_XL,PEBBLES,small_int_dev,PEBBLES_M|PEBBLES_S,2|-3,2531.4627,1264.8327,515465.5,377017.0,4349,3211,51488.5,86960.0,377017.0,51488.5
PEBBLES_S,PEBBLES,small_int_dev,PEBBLES_L|SLEEP_POD_POLYESTER,-3|-3,3657.0445,3407.2136,426660.0,376246.0,4284,3230,68207.5,-17793.5,376246.0,-17793.5
PANEL_2X2,PANEL,small_int_dev,PEBBLES_XL|PEBBLES_XS,-2|-3,2700.6944,1965.5045,544890.5,372789.0,4877,2161,34157.0,137944.5,372789.0,34157.0
PEBBLES_XL,PEBBLES,small_int_dev,PEBBLES_L|PEBBLES_XS,3|-2,3276.7393,2988.1482,569286.0,371707.0,4928,2600,98940.0,98639.0,371707.0,98639.0
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,small_int_dev,SLEEP_POD_POLYESTER|SLEEP_POD_NYLON,3|3,3410.8733,806.5289,445426.5,368673.5,2139,1845,76753.0,0.0,368673.5,0.0
PANEL_2X2,PANEL,small_int_dev,PEBBLES_XL|PEBBLES_XS,-3|-3,3083.2208,3297.8333,637905.5,359362.0,3727,1278,107087.5,171456.0,359362.0,107087.5
MICROCHIP_SQUARE,MICROCHIP,small_int_dev,PEBBLES_XL|ROBOT_IRONING,3|3,3991.1759,4296.6897,595362.0,358979.0,3533,2237,230660.5,5722.5,358979.0,5722.5
PANEL_2X4,PANEL,small_int_dev,GALAXY_SOUNDS_DARK_MATTER|SLEEP_POD_COTTON,-3|-3,3469.0655,2034.171,488239.5,357218.0,4530,2080,131021.5,0.0,357218.0,0.0
SLEEP_POD_COTTON,SLEEP_POD,small_int_dev,SLEEP_POD_POLYESTER|PANEL_1X2,3|2,2235.6488,763.5503,400791.0,350386.0,5192,4489,21351.0,29054.0,350386.0,21351.0
MICROCHIP_CIRCLE,MICROCHIP,small_int_dev,MICROCHIP_TRIANGLE|PEBBLES_M,-2|3,3186.8445,820.1651,445611.5,350373.0,3758,2154,-2820.0,98058.5,350373.0,-2820.0
MICROCHIP_SQUARE,MICROCHIP,small_int_dev,PEBBLES_XL|ROBOT_IRONING,3|2,3986.3311,4429.4248,470590.5,348814.0,3762,2894,177896.5,-56120.0,348814.0,-56120.0
PEBBLES_M,PEBBLES,small_int_dev,PEBBLES_S|PEBBLES_XL,3|1,1930.87,994.2679,417585.0,344918.0,3953,3460,42470.5,30196.5,344918.0,30196.5
PEBBLES_XL,PEBBLES,small_int_dev,PEBBLES_M|PEBBLES_S,1|-3,1930.87,994.2679,417585.0,344918.0,3953,3460,42470.5,30196.5,344918.0,30196.5
