signal,feature,direction,horizon,threshold,cost_mult,train_edge,train_t,train_count,train_active_rate,train_positive_days,train_positive_blocks,train_min_day_edge,train_min_block_edge,train_score,product,category,test_day
past_momentum,past_mid_diff_100,1.0,100,194.0,0.5,5.465364333652924,1.96399234339754,2086,0.10642857142857143,2,9,3.13252427184466,-137.4318181818182,2.4594139501438157,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
past_momentum,past_mid_diff_100,1.0,50,194.0,0.5,2.785276073619632,1.4375449975132608,2119,0.10756345177664975,2,7,0.39393226716839136,-145.47727272727272,0.9748466257668712,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
past_momentum,past_mid_diff_100,1.0,100,194.0,1.0,1.6764141898370086,0.6025948991435011,2086,0.10642857142857143,1,9,-0.9189320388349514,-141.1060606060606,-0.16454565340829763,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
past_momentum,past_mid_diff_10,1.0,100,59.0,0.5,1.8752168256721595,0.7455230624434532,2306,0.11658240647118301,1,8,-1.0053648068669527,-37.04047619047619,-0.2552780765980889,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
past_momentum,past_mid_diff_100,1.0,25,194.0,0.5,0.9229610750695088,0.6883452553259471,2158,0.10926582278481013,1,8,-1.1162683823529411,-91.68939393939394,-0.7470839523251376,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
z_revert,roll_z_250,-1.0,100,0.5,0.5,0.5637293213494855,0.578039439630699,15354,0.7793117450005076,1,12,-1.4184386009058882,-97.85210035005834,-1.080201008096197,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
past_momentum,past_mid_diff_10,1.0,25,59.0,0.5,1.104005998286204,0.8579409142207308,2334,0.1171098845960863,1,11,-2.0554964539007092,-25.497619047619047,-1.448293154843297,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
past_momentum,past_mid_diff_5,1.0,25,42.0,0.5,-0.42670157068062825,-0.33026674434342657,2292,0.11494483450351053,1,11,-1.9490203193033382,-15.908854166666666,-2.1837061831776836,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
z_revert,roll_z_500,-1.0,100,1.0,0.5,-0.7197662362145348,-0.6037008286883943,10609,0.5412202836445261,1,11,-1.793294764795144,-109.79034229828851,-2.1891661947131382,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
past_momentum,past_mid_diff_10,1.0,10,59.0,0.5,-0.9017780634104542,-1.1439673220957025,2334,0.11693386773547094,1,11,-1.8313829787234042,-17.73095238095238,-2.3273609135991538,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
past_momentum,past_mid_diff_5,1.0,10,32.0,0.5,-1.819,-3.2470741464884996,4500,0.22533800701051576,0,7,-2.1220308788598574,-10.070512820512821,-2.7586808788598574,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
z_revert,roll_z_250,-1.0,100,0.75,0.5,0.2660202682109113,0.2512330308141383,13124,0.6661252664704091,1,12,-2.9236571008094185,-103.58080808080808,-2.7640449398828717,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
past_momentum,past_mid_diff_5,1.0,10,23.5,0.5,-2.1581007488087134,-4.892148419535435,7345,0.36780170255383077,0,4,-2.4259352881698684,-6.671597633136095,-2.857555437931611,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
past_momentum,past_mid_diff_5,1.0,25,32.0,0.5,-0.3542917500555926,-0.384133637475014,4497,0.22552657973921766,1,10,-2.7140309155766946,-14.762820512820513,-2.891176790604491,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
z_revert,roll_z_250,-1.0,100,1.0,0.5,0.7841326718118339,0.6706494915621727,10884,0.5524312252563192,1,12,-3.3697786504819707,-102.647,-2.8992990473948703,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
past_momentum,past_mid_diff_10,1.0,10,46.0,0.5,-1.2237762237762237,-2.168467519477098,4433,0.22209418837675352,1,9,-2.4754863040889243,-15.036290322580646,-3.0261856047882247,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2
