product,category,horizon,split,model,feature,importance
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,spread,0.009655006353722217
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,bid_volume_1,1.6374369940457425
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,ask_abs_volume_1,-1.8088958968300106
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,total_bid_volume,-0.28429047336190144
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,total_ask_volume,0.5118981924971135
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,top_imbalance,-0.4136274897271682
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,multi_imbalance,-0.40246809489277113
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,microprice_edge,0.007564470880166519
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,weighted_mid,-0.5762678505184331
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,mid_diff_1,-0.14659429613867228
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,past_mid_diff_5,0.11166987491249901
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,past_mid_diff_10,0.2784143737240818
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,roll_z_50,-0.42330792880933144
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,roll_z_250,0.24870188413758818
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,roll_std_50,0.00610596331100719
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,quote_update,0.205496782851175
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,spread,0.009655006353722217
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,bid_volume_1,1.6374369940457425
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,ask_abs_volume_1,-1.8088958968300106
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,total_bid_volume,-0.28429047336190144
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,total_ask_volume,0.5118981924971135
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,top_imbalance,-0.4136274897271682
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,multi_imbalance,-0.40246809489277113
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,microprice_edge,0.007564470880166519
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,weighted_mid,-0.5762678505184331
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,mid_diff_1,-0.14659429613867228
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,past_mid_diff_5,0.11166987491249901
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,past_mid_diff_10,0.2784143737240818
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,roll_z_50,-0.42330792880933144
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,roll_z_250,0.24870188413758818
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,roll_std_50,0.00610596331100719
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,quote_update,0.205496782851175
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d23_to_d4,ridge,spread,0.2569016657572272
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d23_to_d4,ridge,bid_volume_1,1.4163925246093676
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d23_to_d4,ridge,ask_abs_volume_1,-1.5904963313466394
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d23_to_d4,ridge,total_bid_volume,-0.49664885174339046
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d23_to_d4,ridge,total_ask_volume,0.8472457707773319
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d23_to_d4,ridge,top_imbalance,1.1061598397794028
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d23_to_d4,ridge,multi_imbalance,-0.18651951218005178
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d23_to_d4,ridge,microprice_edge,-1.6010068724069386
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d23_to_d4,ridge,weighted_mid,-0.5287111638493319
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d23_to_d4,ridge,mid_diff_1,-0.019814416961236515
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d23_to_d4,ridge,past_mid_diff_5,-0.06752583935813661
