community,size,products,categories
0,5,PEBBLES_L|PEBBLES_M|PEBBLES_S|PEBBLES_XL|PEBBLES_XS,"{""PEBBLES"": 5}"
1,3,SNACKPACK_PISTACHIO|SNACKPACK_RASPBERRY|SNACKPACK_STRAWBERRY,"{""SNACKPACK"": 3}"
2,2,SNACKPACK_CHOCOLATE|SNACKPACK_VANILLA,"{""SNACKPACK"": 2}"
3,1,GALAXY_SOUNDS_DARK_MATTER,"{""GALAXY_SOUNDS"": 1}"
4,1,GALAXY_SOUNDS_BLACK_HOLES,"{""GALAXY_SOUNDS"": 1}"
5,1,GALAXY_SOUNDS_PLANETARY_RINGS,"{""GALAXY_SOUNDS"": 1}"
6,1,GALAXY_SOUNDS_SOLAR_WINDS,"{""GALAXY_SOUNDS"": 1}"
7,1,GALAXY_SOUNDS_SOLAR_FLAMES,"{""GALAXY_SOUNDS"": 1}"
8,1,SLEEP_POD_SUEDE,"{""SLEEP_POD"": 1}"
9,1,SLEEP_POD_LAMB_WOOL,"{""SLEEP_POD"": 1}"
10,1,SLEEP_POD_POLYESTER,"{""SLEEP_POD"": 1}"
11,1,SLEEP_POD_NYLON,"{""SLEEP_POD"": 1}"
12,1,SLEEP_POD_COTTON,"{""SLEEP_POD"": 1}"
13,1,MICROCHIP_CIRCLE,"{""MICROCHIP"": 1}"
14,1,MICROCHIP_OVAL,"{""MICROCHIP"": 1}"
15,1,MICROCHIP_SQUARE,"{""MICROCHIP"": 1}"
16,1,MICROCHIP_RECTANGLE,"{""MICROCHIP"": 1}"
17,1,MICROCHIP_TRIANGLE,"{""MICROCHIP"": 1}"
18,1,ROBOT_VACUUMING,"{""ROBOT"": 1}"
19,1,ROBOT_MOPPING,"{""ROBOT"": 1}"
20,1,ROBOT_DISHES,"{""ROBOT"": 1}"
21,1,ROBOT_LAUNDRY,"{""ROBOT"": 1}"
22,1,ROBOT_IRONING,"{""ROBOT"": 1}"
23,1,UV_VISOR_YELLOW,"{""UV_VISOR"": 1}"
24,1,UV_VISOR_AMBER,"{""UV_VISOR"": 1}"
25,1,UV_VISOR_ORANGE,"{""UV_VISOR"": 1}"
26,1,UV_VISOR_RED,"{""UV_VISOR"": 1}"
27,1,UV_VISOR_MAGENTA,"{""UV_VISOR"": 1}"
28,1,TRANSLATOR_SPACE_GRAY,"{""TRANSLATOR"": 1}"
29,1,TRANSLATOR_ASTRO_BLACK,"{""TRANSLATOR"": 1}"
30,1,TRANSLATOR_ECLIPSE_CHARCOAL,"{""TRANSLATOR"": 1}"
31,1,TRANSLATOR_GRAPHITE_MIST,"{""TRANSLATOR"": 1}"
32,1,TRANSLATOR_VOID_BLUE,"{""TRANSLATOR"": 1}"
33,1,PANEL_1X2,"{""PANEL"": 1}"
34,1,PANEL_2X2,"{""PANEL"": 1}"
35,1,PANEL_1X4,"{""PANEL"": 1}"
36,1,PANEL_2X4,"{""PANEL"": 1}"
37,1,PANEL_4X4,"{""PANEL"": 1}"
38,1,OXYGEN_SHAKE_MORNING_BREATH,"{""OXYGEN_SHAKE"": 1}"
39,1,OXYGEN_SHAKE_EVENING_BREATH,"{""OXYGEN_SHAKE"": 1}"
40,1,OXYGEN_SHAKE_MINT,"{""OXYGEN_SHAKE"": 1}"
41,1,OXYGEN_SHAKE_CHOCOLATE,"{""OXYGEN_SHAKE"": 1}"
42,1,OXYGEN_SHAKE_GARLIC,"{""OXYGEN_SHAKE"": 1}"
