product,category,test_day,signal,feature,horizon,threshold,cost_mult,direction,train_edge,train_score,train_positive_blocks,test_edge,test_t,test_count,test_active_rate,test_positive_blocks,test_min_block_edge
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,past_momentum,past_mid_diff_100,100,194.0,0.5,1.0,5.465364333652924,2.4594139501438157,9,10.011826544021025,2.9741332846955237,761,0.0776530612244898,9,-133.39825581395348
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,past_momentum,past_mid_diff_100,100,194.0,0.5,1.0,6.055555555555555,2.422222222222222,8,7.740767045454546,1.9678647096956794,1056,0.10775510204081633,10,-159.9891304347826
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,past_momentum,past_mid_diff_25,100,95.5,0.5,1.0,16.02919254658385,9.61751552795031,12,-9.136037735849056,-2.6798177003927646,1325,0.1341772151898734,5,-77.93055555555556
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,past_momentum,past_mid_diff_25,50,65.0,0.5,1.0,5.988510487862362,3.5931062927174167,12,-8.664647577092511,-6.214019212177461,1816,0.18297229219143576,6,-41.63978494623656
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,3,past_revert,past_mid_diff_100,100,133.5,0.5,-1.0,16.15129749768304,12.11347312326228,15,-10.53125,-5.027007985125167,2584,0.2636734693877551,6,-143.96052631578948
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,4,z_revert,roll_z_500,100,0.5,0.5,-1.0,9.11520473574045,5.924883078231293,13,-2.0621912055335967,-1.8221165716803662,8096,0.8260381593714927,9,-61.39731182795699
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,2,past_revert,past_mid_diff_50,100,131.0,0.5,-1.0,16.39258766089658,9.015923213493119,11,-8.42791612057667,-2.5299188711434226,763,0.07746192893401015,11,-78.74264705882354
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,3,past_momentum,past_mid_diff_100,100,186.0,0.5,1.0,13.734635540733683,6.867317770366841,10,-20.25410872313527,-5.231374074750687,791,0.08071428571428571,4,-142.4780701754386
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,4,z_revert,roll_z_250,50,2.0,0.5,-1.0,9.798576063446287,5.363237216423542,13,-6.718662464985995,-3.0360326221432814,1428,0.14422785577214423,11,-84.71917808219177
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,2,z_revert,roll_z_500,100,2.0,0.5,-1.0,18.021235194585447,10.812741116751269,12,-23.287981269510926,-8.807614815928273,1922,0.19610243852668094,12,-127.63071895424837
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,3,past_revert,past_mid_diff_10,25,57.5,0.5,-1.0,0.8850457782299085,0.33952663443330633,10,-10.817353787152445,-6.432649156873508,1043,0.10466633216256899,5,-42.5514705882353
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,4,past_momentum,past_mid_diff_100,100,72.5,0.5,1.0,16.16690947940948,11.316836635586636,14,-16.147808988764044,-11.23588235533159,4450,0.45408163265306123,7,-78.11538461538461
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,2,past_momentum,past_mid_diff_50,100,95.0,0.5,1.0,6.390732125367287,3.5149026689520078,11,-2.1305309734513274,-0.9773534437159819,1808,0.18355329949238577,8,-83.40625
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,3,past_momentum,past_mid_diff_100,100,101.0,0.5,1.0,6.371508379888268,3.504329608938547,11,0.5679597701149425,0.30404252781273633,3480,0.3551020408163265,7,-77.50920245398773
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,4,past_revert,past_mid_diff_50,50,123.5,0.5,-1.0,4.501845991561181,2.2509229957805905,10,-9.63183962264151,-3.2810111021026334,1060,0.10707070707070707,10,-102.41880341880342
MICROCHIP_CIRCLE,MICROCHIP,2,past_revert,past_mid_diff_100,100,153.0,0.5,-1.0,16.325905624404193,11.428133937082936,14,-6.906143344709897,-2.8485398585284627,879,0.08969387755102042,10,-90.1975806451613
