product_a,product_b,spread_mean_all,spread_std_all,day_mean_range,day_std_range,adf_p
PEBBLES_XS,PEBBLES_S,-1527.7169666666666,931.1863489080359,1768.03345,353.85196181629294,0.17366256135662578
PEBBLES_XS,PEBBLES_M,-2858.603416666667,1989.5470716049047,4257.6465,812.1145287287383,0.6374575801278825
PEBBLES_XS,PEBBLES_L,-2769.4708166666665,1724.2397060565959,3728.5600999999997,303.0467065958943,0.44965105853145143
PEBBLES_XS,PEBBLES_XL,-5820.94955,3085.3839159970853,6248.44045,1070.230904527366,0.5306723114685861
PEBBLES_S,PEBBLES_M,-1330.88645,1368.6632946011723,2825.74955,342.2173832229315,0.6121526860545505
PEBBLES_S,PEBBLES_L,-1241.75385,1105.7753723327576,2296.66315,83.14901643959035,0.3512618545699915
PEBBLES_S,PEBBLES_XL,-4293.232583333333,2514.115908834895,4816.5435,1170.2986812499676,0.5257701914944664
PEBBLES_M,PEBBLES_L,89.1326,757.1417555771903,529.0864,415.153693020716,0.36422450657956373
PEBBLES_M,PEBBLES_XL,-2962.3461333333335,1665.1430714125775,1990.7939500000002,491.4985856351361,0.22606806055002193
PEBBLES_L,PEBBLES_XL,-3051.4787333333334,1994.8726383053104,2519.8803499999995,1129.3167536656906,0.515152182826724
