product,category,day,trade_count,trade_volume,avg_qty,avg_abs_trade_vs_mid,buy_side_proxy
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,229,562,2.4541484716157207,6.834061135371179,0.48034934497816595
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,255,649,2.545098039215686,6.9941176470588236,0.5098039215686274
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,249,594,2.3855421686746987,7.937751004016064,0.4738955823293173
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,229,562,2.4541484716157207,6.467248908296943,0.48034934497816595
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,3,255,649,2.545098039215686,6.613725490196078,0.5098039215686274
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,4,249,594,2.3855421686746987,6.504016064257028,0.4738955823293173
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,2,229,562,2.4541484716157207,6.43886462882096,0.48034934497816595
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,3,255,649,2.545098039215686,7.325490196078431,0.5098039215686274
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,4,249,594,2.3855421686746987,6.801204819277109,0.4738955823293173
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,2,229,562,2.4541484716157207,7.0524017467248905,0.48034934497816595
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,3,255,649,2.545098039215686,7.078431372549019,0.5098039215686274
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,4,249,594,2.3855421686746987,6.92570281124498,0.4738955823293173
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,2,229,562,2.4541484716157207,6.443231441048035,0.48034934497816595
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,3,255,649,2.545098039215686,6.566666666666666,0.5098039215686274
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,4,249,594,2.3855421686746987,6.957831325301205,0.4738955823293173
MICROCHIP_CIRCLE,MICROCHIP,2,174,342,1.9655172413793103,4.195402298850575,0.5517241379310345
MICROCHIP_CIRCLE,MICROCHIP,3,194,383,1.9742268041237114,3.979381443298969,0.5360824742268041
MICROCHIP_CIRCLE,MICROCHIP,4,201,394,1.9601990049751243,4.338308457711443,0.4975124378109453
