product,category,mid_start,mid_end,mid_min,mid_max,net_change,abs_net_change,return_std_1,return_skew_1,return_kurtosis_1,jump_count_5x,spread_mean,spread_median,spread_p95,quote_update_rate,avg_total_bid_volume,avg_total_ask_volume,top_imbalance_std
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,10000.0,13457.5,9608.5,14137.0,3457.5,3457.5,11.479686881661264,0.0073460923818322,0.11297210285808656,0,14.512766666666666,14.0,17.0,0.9985,49.56796666666666,49.567233333333334,0.11853192810370489
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,10000.0,10264.5,9541.0,11186.0,264.5,264.5,10.245710490999125,-0.018175488025920034,-0.007762933617494028,0,13.050833333333333,13.0,14.0,0.9977,49.56796666666666,49.567233333333334,0.11853192810370489
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,10000.0,9648.5,9253.0,12182.0,-351.5,351.5,10.879123127728175,0.017654103646515037,0.06936634620946469,0,13.690033333333334,14.0,15.0,0.9981,49.56796666666666,49.567233333333334,0.11853192810370489
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,10000.0,10823.0,9837.5,12210.0,823.0,823.0,11.094554640497739,0.0051415063802152635,0.008969146615536161,0,14.071533333333333,14.0,15.0,0.9987666666666667,49.56796666666666,49.567233333333334,0.11853192810370489
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,10000.0,10247.5,9320.0,11613.5,247.5,247.5,10.53915707167481,0.0011215398749294505,0.0497479293387757,0,13.301266666666667,14.0,15.0,0.9983333333333333,49.56796666666666,49.567233333333334,0.11853192810370489
MICROCHIP_CIRCLE,MICROCHIP,10000.0,10388.5,8303.5,10731.5,388.5,388.5,9.234242831878458,-0.02268634491796642,0.06966620962649861,0,8.262166666666667,8.0,9.0,0.9956666666666667,16.026166666666665,16.029566666666668,0.17937356663143025
MICROCHIP_OVAL,MICROCHIP,10000.0,5519.0,5375.0,10433.0,-4481.0,4481.0,12.478011055304624,-0.005956804644579073,0.41237660973241796,0,7.449766666666667,8.0,9.0,0.9980333333333333,16.026166666666665,16.029566666666668,0.2301459622566423
MICROCHIP_RECTANGLE,MICROCHIP,10000.0,8772.0,7327.5,10442.5,-1228.0,1228.0,13.130331963193855,0.005663277836708806,0.08984112959829993,0,7.885766666666667,8.0,9.0,0.9969666666666667,16.026166666666665,16.029566666666668,0.21742837073437424
MICROCHIP_SQUARE,MICROCHIP,10000.0,13633.0,9756.0,16498.0,3633.0,3633.0,20.70752424773766,-0.00511594946462972,0.25009842293857876,0,11.7188,12.0,14.0,0.9968,16.026166666666665,16.029566666666668,0.05406177225032494
MICROCHIP_TRIANGLE,MICROCHIP,10000.0,7941.5,7749.0,10872.0,-2058.5,2058.5,14.50403362311008,0.018068067773558273,0.08012345746495164,0,8.635433333333333,9.0,10.0,0.9962,16.026166666666665,16.029566666666668,0.15131245451657255
