product,category,day,side_proxy,horizon,signed_markout_mean,signed_markout_t,count
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,buyer_aggressive,1,0.42272727272727273,0.43198511438982207,110
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,buyer_aggressive,5,2.6363636363636362,1.2054214064215005,110
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,buyer_aggressive,10,5.204545454545454,1.7865767258175034,110
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,buyer_aggressive,25,10.313636363636364,2.182771271008395,110
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,buyer_aggressive,50,17.913636363636364,2.828196322779711,110
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,buyer_aggressive,100,36.083333333333336,3.9871648552123684,110
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,seller_aggressive,1,0.957983193277311,1.0563181270696294,119
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,seller_aggressive,5,0.3445378151260504,0.16235455076001618,119
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,seller_aggressive,10,-4.008403361344538,-1.427592513708693,119
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,seller_aggressive,25,-6.760504201680672,-1.5419334911809026,119
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,seller_aggressive,50,-12.289915966386555,-1.823112615388647,119
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,seller_aggressive,100,-13.436974789915967,-1.3982094697590741,119
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,buyer_aggressive,1,-0.25,-0.24247439541592575,130
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,buyer_aggressive,5,-4.823076923076923,-1.9804576134685445,130
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,buyer_aggressive,10,-4.953846153846154,-1.549722851276793,130
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,buyer_aggressive,25,-5.9423076923076925,-1.1600947060670366,130
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,buyer_aggressive,50,-0.32558139534883723,-0.04318567636176186,130
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,buyer_aggressive,100,6.828125,0.6710234356505446,130
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,seller_aggressive,1,0.456,0.46719602823380046,125
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,seller_aggressive,5,1.221774193548387,0.579498877059251,125
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,seller_aggressive,10,4.983870967741935,1.6658170960746053,125
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,seller_aggressive,25,2.221774193548387,0.42858007266542614,125
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,seller_aggressive,50,2.157258064516129,0.2664286141767789,125
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,seller_aggressive,100,-5.266129032258065,-0.5360276560581567,125
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,buyer_aggressive,1,-0.7627118644067796,-0.6673445817290616,118
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,buyer_aggressive,5,-0.809322033898305,-0.34742600940571716,118
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,buyer_aggressive,10,-6.085470085470085,-1.7902550853147048,118
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,buyer_aggressive,25,-4.32051282051282,-0.7931581766107272,118
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,buyer_aggressive,50,-6.327586206896552,-0.8673602949018216,118
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,buyer_aggressive,100,-0.7543859649122807,-0.07633946884376352,118
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,seller_aggressive,1,-1.717557251908397,-1.5581958309857966,131
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,seller_aggressive,5,-5.099236641221374,-2.1923460359925904,131
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,seller_aggressive,10,-0.8702290076335878,-0.2504116716646666,131
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,seller_aggressive,25,-4.453846153846154,-0.8054905858218564,131
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,seller_aggressive,50,-0.29844961240310075,-0.035740040127622656,131
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,seller_aggressive,100,-12.290697674418604,-1.1076526426419513,131
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,buyer_aggressive,1,0.5545454545454546,0.6597432763023637,110
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,buyer_aggressive,5,0.35,0.16063787707884358,110
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,buyer_aggressive,10,-1.8590909090909091,-0.6160453568331123,110
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,buyer_aggressive,25,-6.554545454545455,-1.4718496156565772,110
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,buyer_aggressive,50,3.0636363636363635,0.5115339094416066,110
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,buyer_aggressive,100,-4.583333333333333,-0.5349647691279791,110
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,seller_aggressive,1,-0.9369747899159664,-1.0249772276517723,119
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,seller_aggressive,5,0.27310924369747897,0.13199738634471578,119
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,seller_aggressive,10,-2.0756302521008405,-0.7655238703970679,119
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,seller_aggressive,25,-4.5966386554621845,-1.040848839340416,119
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,seller_aggressive,50,-4.2899159663865545,-0.6902511406917071,119
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,seller_aggressive,100,-2.508403361344538,-0.2969273907115567,119
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,3,buyer_aggressive,1,1.1307692307692307,1.3239424590602604,130
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,3,buyer_aggressive,5,2.0576923076923075,1.038526298990074,130
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,3,buyer_aggressive,10,1.25,0.45995574412870477,130
