category,component,explained_variance_ratio
GALAXY_SOUNDS,1,0.20369380479589227
GALAXY_SOUNDS,2,0.20192002963737304
GALAXY_SOUNDS,3,0.19929360708356963
GALAXY_SOUNDS,4,0.19803964106682523
GALAXY_SOUNDS,5,0.19705291741633985
SLEEP_POD,1,0.20335858868773593
SLEEP_POD,2,0.20171990758059455
SLEEP_POD,3,0.1991008519601357
SLEEP_POD,4,0.19833465105202794
SLEEP_POD,5,0.19748600071950587
MICROCHIP,1,0.20517273827298382
MICROCHIP,2,0.2004021906215368
MICROCHIP,3,0.19897439459864952
MICROCHIP,4,0.19834032754468933
MICROCHIP,5,0.19711034896214047
PEBBLES,1,0.40265541672659777
PEBBLES,2,0.2013577045158254
PEBBLES,3,0.19843288453208707
PEBBLES,4,0.1958623404580638
PEBBLES,5,0.0016916537674258128
ROBOT,1,0.20328937576942147
ROBOT,2,0.20264115740677088
ROBOT,3,0.19924626607220924
ROBOT,4,0.19782586831376378
ROBOT,5,0.19699733243783465
UV_VISOR,1,0.20556614702038453
UV_VISOR,2,0.2007620345709717
UV_VISOR,3,0.20038191900402313
UV_VISOR,4,0.19744072399145937
UV_VISOR,5,0.19584917541316127
TRANSLATOR,1,0.20386466556194047
TRANSLATOR,2,0.20281708819112323
TRANSLATOR,3,0.20024005207802778
TRANSLATOR,4,0.19787935771701815
TRANSLATOR,5,0.19519883645189035
PANEL,1,0.20374292095527535
PANEL,2,0.2019673275201998
PANEL,3,0.20023113823534242
PANEL,4,0.19768259889459128
PANEL,5,0.19637601439459107
OXYGEN_SHAKE,1,0.20570622676883815
OXYGEN_SHAKE,2,0.19990172996554725
OXYGEN_SHAKE,3,0.1991658126700537
OXYGEN_SHAKE,4,0.19829962746612734
OXYGEN_SHAKE,5,0.19692660312943341
SNACKPACK,1,0.5559982461748901
SNACKPACK,2,0.383105772829723
SNACKPACK,3,0.039212450959126975
SNACKPACK,4,0.015285380019378323
SNACKPACK,5,0.0063981500168816185
