excluded_category,remaining_products,remaining_score_sum,remaining_edge_mean,lost_score
PEBBLES,27,181.55172079911853,9.680045457007552,82.77751884404609
ROBOT,24,214.70351651780345,12.382480844365674,49.62572312536116
TRANSLATOR,25,230.01711163800516,12.457736632946835,34.31212800515945
PANEL,25,239.19379369373817,12.930856268074754,25.13544594942644
UV_VISOR,26,243.02607631602237,12.639797708084302,21.303163327142244
MICROCHIP,26,244.51101083053456,12.710022151095702,19.818228812630053
OXYGEN_SHAKE,26,252.9149177223846,13.130389133385277,11.414321920780026
SLEEP_POD,27,253.7157273404795,12.710039349382873,10.613512302685109
SNACKPACK,27,259.1112242684947,13.021236257591704,5.218015374669903
GALAXY_SOUNDS,28,260.2180576619009,12.640899138939364,4.111181981263712
