day,product,category,net_change,return_std_1,spread_mean,spread_p95,quote_update_rate
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1446.5,10.597998056118277,13.6031,15.0,0.9985
3,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,688.5,11.125827655128532,14.0854,15.0,0.9986
4,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1320.5,12.62026506344694,15.8498,18.0,0.9984
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,417.0,10.067367148979734,12.9228,14.0,0.9981
3,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,462.5,10.482850936473508,13.2836,14.0,0.9977
4,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,-611.5,10.183090118840092,12.9461,14.0,0.9973
2,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,1249.0,10.157218233664798,12.8162,14.0,0.9982
3,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,158.0,11.635062323428913,14.688,16.0,0.9979
4,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,-1767.0,10.793480617120945,13.5659,15.0,0.9982
2,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,1345.5,11.116588289308348,14.0921,15.0,0.9988
3,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,-693.5,11.22661001598429,14.2676,16.0,0.9985
4,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,180.0,10.93872968534386,13.8549,15.0,0.999
2,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,-416.5,10.23122063485811,12.8726,14.0,0.9979
3,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,1175.5,10.374701562072147,13.1533,14.0,0.9983
4,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,-508.5,10.996066192654759,13.8779,15.0,0.9988
2,MICROCHIP_CIRCLE,MICROCHIP,-1125.0,9.208390270537192,8.2583,9.0,0.9967
3,MICROCHIP_CIRCLE,MICROCHIP,-346.5,8.85177072830238,8.0001,9.0,0.9949
4,MICROCHIP_CIRCLE,MICROCHIP,1853.5,9.624694482968035,8.5281,10.0,0.9954
2,MICROCHIP_OVAL,MICROCHIP,-744.0,14.566279531379521,8.7157,9.0,0.9979
3,MICROCHIP_OVAL,MICROCHIP,-1824.0,12.947266246329498,7.727,9.0,0.9977
4,MICROCHIP_OVAL,MICROCHIP,-1897.5,9.344350149292167,5.9066,7.0,0.9985
2,MICROCHIP_RECTANGLE,MICROCHIP,-579.5,14.336217140027701,8.5759,9.0,0.9953
3,MICROCHIP_RECTANGLE,MICROCHIP,-1572.5,12.421336598171402,7.5291,9.0,0.9969
4,MICROCHIP_RECTANGLE,MICROCHIP,941.5,12.546016913708886,7.5523,8.0,0.9987
2,MICROCHIP_SQUARE,MICROCHIP,2455.5,16.871375250049372,9.9049,11.0,0.9957
3,MICROCHIP_SQUARE,MICROCHIP,3438.5,22.11149732641011,12.4872,14.0,0.9973
4,MICROCHIP_SQUARE,MICROCHIP,-2278.0,22.64380600429771,12.7643,14.0,0.9974
2,MICROCHIP_TRIANGLE,MICROCHIP,704.0,15.29958361512148,9.0691,10.0,0.9949
3,MICROCHIP_TRIANGLE,MICROCHIP,-1705.5,15.229513203085656,9.0501,10.0,0.9959
4,MICROCHIP_TRIANGLE,MICROCHIP,-1078.5,12.848986789102199,7.7871,9.0,0.9978
2,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,-510.0,10.687080587240418,11.8201,12.0,0.9743
