product,category,day,trade_count,trade_volume,avg_abs_trade_vs_mid,buyer_aggressive_rate,seller_aggressive_rate,avg_spread_at_trade
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,229,562,6.834061135371179,0.48034934497816595,0.519650655021834,13.668122270742359
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,255,649,6.9941176470588236,0.5098039215686274,0.49019607843137253,13.988235294117647
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,249,594,7.937751004016064,0.4738955823293173,0.5261044176706827,15.875502008032129
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,229,562,6.467248908296943,0.48034934497816595,0.519650655021834,12.934497816593886
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,3,255,649,6.613725490196078,0.5098039215686274,0.49019607843137253,13.227450980392156
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,4,249,594,6.504016064257028,0.4738955823293173,0.5261044176706827,13.008032128514056
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,2,229,562,6.43886462882096,0.48034934497816595,0.519650655021834,12.87772925764192
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,3,255,649,7.325490196078431,0.5098039215686274,0.49019607843137253,14.650980392156862
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,4,249,594,6.801204819277109,0.4738955823293173,0.5261044176706827,13.602409638554217
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,2,229,562,7.0524017467248905,0.48034934497816595,0.519650655021834,14.104803493449781
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,3,255,649,7.078431372549019,0.5098039215686274,0.49019607843137253,14.156862745098039
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,4,249,594,6.92570281124498,0.4738955823293173,0.5261044176706827,13.85140562248996
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,2,229,562,6.443231441048035,0.48034934497816595,0.519650655021834,12.88646288209607
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,3,255,649,6.566666666666666,0.5098039215686274,0.49019607843137253,13.133333333333333
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,4,249,594,6.957831325301205,0.4738955823293173,0.5261044176706827,13.91566265060241
MICROCHIP_CIRCLE,MICROCHIP,2,174,342,4.195402298850575,0.5517241379310345,0.4482758620689655,8.39080459770115
MICROCHIP_CIRCLE,MICROCHIP,3,194,383,3.979381443298969,0.5360824742268041,0.4639175257731959,7.958762886597938
MICROCHIP_CIRCLE,MICROCHIP,4,201,394,4.338308457711443,0.4975124378109453,0.5024875621890548,8.676616915422885
MICROCHIP_OVAL,MICROCHIP,2,174,342,4.379310344827586,0.5517241379310345,0.4482758620689655,8.758620689655173
MICROCHIP_OVAL,MICROCHIP,3,194,383,3.8608247422680413,0.5360824742268041,0.4639175257731959,7.721649484536083
MICROCHIP_OVAL,MICROCHIP,4,201,394,2.9527363184079602,0.4975124378109453,0.5024875621890548,5.9054726368159205
MICROCHIP_RECTANGLE,MICROCHIP,2,174,342,4.307471264367816,0.5517241379310345,0.4482758620689655,8.614942528735632
MICROCHIP_RECTANGLE,MICROCHIP,3,194,383,3.7731958762886597,0.5360824742268041,0.4639175257731959,7.546391752577319
MICROCHIP_RECTANGLE,MICROCHIP,4,201,394,3.7611940298507465,0.4975124378109453,0.5024875621890548,7.522388059701493
MICROCHIP_SQUARE,MICROCHIP,2,174,342,4.933908045977011,0.5517241379310345,0.4482758620689655,9.867816091954023
MICROCHIP_SQUARE,MICROCHIP,3,194,383,6.291237113402062,0.5360824742268041,0.4639175257731959,12.582474226804123
MICROCHIP_SQUARE,MICROCHIP,4,201,394,6.440298507462686,0.4975124378109453,0.5024875621890548,12.880597014925373
MICROCHIP_TRIANGLE,MICROCHIP,2,174,342,4.580459770114943,0.5517241379310345,0.4482758620689655,9.160919540229886
MICROCHIP_TRIANGLE,MICROCHIP,3,194,383,4.525773195876289,0.5360824742268041,0.4639175257731959,9.051546391752577
MICROCHIP_TRIANGLE,MICROCHIP,4,201,394,3.925373134328358,0.4975124378109453,0.5024875621890548,7.850746268656716
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,2,229,562,5.925764192139738,0.48034934497816595,0.519650655021834,11.851528384279476
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,3,255,649,5.921568627450981,0.5098039215686274,0.49019607843137253,11.843137254901961
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,4,249,594,6.419678714859438,0.4738955823293173,0.5261044176706827,12.839357429718875
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,2,229,562,6.0174672489082965,0.48034934497816595,0.519650655021834,12.034934497816593
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,3,255,649,5.870588235294117,0.5098039215686274,0.49019607843137253,11.741176470588234
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,4,249,594,5.903614457831325,0.4738955823293173,0.5261044176706827,11.80722891566265
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,2,229,562,7.034934497816594,0.48034934497816595,0.519650655021834,14.069868995633188
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,3,255,649,7.3882352941176475,0.5098039215686274,0.49019607843137253,14.776470588235295
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,4,249,594,8.094377510040161,0.4738955823293173,0.5261044176706827,16.188755020080322
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,2,229,562,6.3406113537117905,0.48034934497816595,0.519650655021834,12.681222707423581
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,3,255,649,6.529411764705882,0.5098039215686274,0.49019607843137253,13.058823529411764
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,4,249,594,5.997991967871486,0.4738955823293173,0.5261044176706827,11.995983935742972
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,2,229,562,6.753275109170306,0.48034934497816595,0.519650655021834,13.506550218340612
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,3,255,649,6.272549019607843,0.5098039215686274,0.49019607843137253,12.545098039215686
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,4,249,594,6.140562248995984,0.4738955823293173,0.5261044176706827,12.281124497991968
PANEL_1X2,PANEL,2,229,562,5.941048034934497,0.48034934497816595,0.519650655021834,11.882096069868995
PANEL_1X2,PANEL,3,255,649,5.356862745098039,0.5098039215686274,0.49019607843137253,10.713725490196078
PANEL_1X2,PANEL,4,249,594,5.937751004016064,0.4738955823293173,0.5261044176706827,11.875502008032129
PANEL_1X4,PANEL,2,229,562,4.475982532751091,0.48034934497816595,0.519650655021834,8.951965065502183
PANEL_1X4,PANEL,3,255,649,4.2215686274509805,0.5098039215686274,0.49019607843137253,8.443137254901961
PANEL_1X4,PANEL,4,249,594,3.8775100401606424,0.4738955823293173,0.5261044176706827,7.755020080321285
PANEL_2X2,PANEL,2,229,562,4.353711790393013,0.48034934497816595,0.519650655021834,8.707423580786026
PANEL_2X2,PANEL,3,255,649,4.452941176470588,0.5098039215686274,0.49019607843137253,8.905882352941177
PANEL_2X2,PANEL,4,249,594,3.9457831325301207,0.4738955823293173,0.5261044176706827,7.891566265060241
PANEL_2X4,PANEL,2,229,562,4.707423580786026,0.48034934497816595,0.519650655021834,9.414847161572052
PANEL_2X4,PANEL,3,255,649,4.866666666666666,0.5098039215686274,0.49019607843137253,9.733333333333333
PANEL_2X4,PANEL,4,249,594,5.140562248995984,0.4738955823293173,0.5261044176706827,10.281124497991968
PANEL_4X4,PANEL,2,229,562,4.471615720524017,0.48034934497816595,0.519650655021834,8.943231441048034
PANEL_4X4,PANEL,3,255,649,4.223529411764706,0.5098039215686274,0.49019607843137253,8.447058823529412
PANEL_4X4,PANEL,4,249,594,4.463855421686747,0.4738955823293173,0.5261044176706827,8.927710843373495
PEBBLES_L,PEBBLES,2,212,754,6.346698113207547,0.49056603773584906,0.5094339622641509,12.693396226415095
PEBBLES_L,PEBBLES,3,230,829,6.6173913043478265,0.5130434782608696,0.48695652173913045,13.234782608695653
PEBBLES_L,PEBBLES,4,202,700,6.742574257425742,0.4900990099009901,0.5099009900990099,13.485148514851485
PEBBLES_M,PEBBLES,2,212,754,6.261792452830188,0.49056603773584906,0.5094339622641509,12.523584905660377
PEBBLES_M,PEBBLES,3,230,829,6.556521739130435,0.5130434782608696,0.48695652173913045,13.11304347826087
PEBBLES_M,PEBBLES,4,202,700,6.982673267326732,0.4900990099009901,0.5099009900990099,13.965346534653465
PEBBLES_S,PEBBLES,2,212,754,6.193396226415095,0.49056603773584906,0.5094339622641509,12.38679245283019
PEBBLES_S,PEBBLES,3,230,829,5.995652173913044,0.5130434782608696,0.48695652173913045,11.991304347826087
PEBBLES_S,PEBBLES,4,202,700,5.242574257425742,0.4900990099009901,0.5099009900990099,10.485148514851485
PEBBLES_XL,PEBBLES,2,212,754,7.365566037735849,0.49056603773584906,0.5094339622641509,14.731132075471699
PEBBLES_XL,PEBBLES,3,230,829,8.46304347826087,0.5130434782608696,0.48695652173913045,16.92608695652174
PEBBLES_XL,PEBBLES,4,202,700,9.267326732673267,0.4900990099009901,0.5099009900990099,18.534653465346533
PEBBLES_XS,PEBBLES,2,212,754,5.952830188679245,0.49056603773584906,0.5094339622641509,11.90566037735849
