product,category,window,mean_reversion_beta,half_life,corr_deviation_next_delta
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,50,0.000917095011312572,,0.0037354868461452863
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,100,0.0003898201609478643,,0.002256583643056292
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,250,0.00034412319661977867,,0.003179094633630527
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,500,0.0003165917166448707,,0.004160801017918298
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,50,-0.00023613057729473267,2935.09357685496,-0.0009422995346604581
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,100,0.00045077599509116197,,0.0025973579727000865
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,250,-0.0004587425996938534,1510.62530664068,-0.004103365612950973
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,500,-0.0005363421572294459,1292.013451808459,-0.006445806743251751
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,50,0.0022078435140835333,,0.00915686054653661
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,100,0.0005843366132050842,,0.003436414669330429
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,250,0.00037587167566524815,,0.003482534528046576
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,500,0.00033856464213190236,,0.0044775028771842935
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,50,-0.001208748964279817,573.0951555010399,-0.004777577120084842
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,100,-0.00028729700545846663,2412.3036198407995,-0.0016175929085433993
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,250,0.0003027812528225836,,0.0027842451412457116
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,500,0.00019306173107441865,,0.0025411670061574005
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,50,0.00013032021007568334,,0.0005261023110846091
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,100,0.0001429004717177838,,0.0008170160547336096
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,250,0.00042568246419405356,,0.003923420327287858
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,500,0.00011383851592417281,,0.0014545533734336472
MICROCHIP_CIRCLE,MICROCHIP,50,-0.00038835555447392403,1784.4796349224605,-0.0015474676031432555
MICROCHIP_CIRCLE,MICROCHIP,100,0.00015381862312120685,,0.0008828547558764808
MICROCHIP_CIRCLE,MICROCHIP,250,-0.00011821944058508433,5862.878428338802,-0.0010659310443675075
MICROCHIP_CIRCLE,MICROCHIP,500,-0.00015769232765720407,4395.220347271044,-0.0019841876668192523
MICROCHIP_OVAL,MICROCHIP,50,-0.0022966939450861294,301.4554479668336,-0.008895120434917568
MICROCHIP_OVAL,MICROCHIP,100,-0.0011617084276468563,596.3152789579133,-0.006427033414173438
MICROCHIP_OVAL,MICROCHIP,250,-0.00051680672484454,1340.865008625038,-0.004499330889662208
MICROCHIP_OVAL,MICROCHIP,500,-0.0002447452180526763,2831.7707711928047,-0.0030348742770057277
