product,category,change_points,sampled_last_index
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,5,1000
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,5,1000
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,5,1000
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,5,1000
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,5,1000
MICROCHIP_CIRCLE,MICROCHIP,5,1000
MICROCHIP_OVAL,MICROCHIP,5,1000
MICROCHIP_RECTANGLE,MICROCHIP,5,1000
MICROCHIP_SQUARE,MICROCHIP,5,1000
MICROCHIP_TRIANGLE,MICROCHIP,5,1000
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,5,1000
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,5,1000
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,5,1000
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,5,1000
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,5,1000
PANEL_1X2,PANEL,5,1000
PANEL_1X4,PANEL,5,1000
PANEL_2X2,PANEL,5,1000
PANEL_2X4,PANEL,5,1000
PANEL_4X4,PANEL,5,1000
PEBBLES_L,PEBBLES,5,1000
PEBBLES_M,PEBBLES,5,1000
PEBBLES_S,PEBBLES,5,1000
PEBBLES_XL,PEBBLES,5,1000
PEBBLES_XS,PEBBLES,5,1000
ROBOT_DISHES,ROBOT,5,1000
ROBOT_IRONING,ROBOT,5,1000
ROBOT_LAUNDRY,ROBOT,5,1000
ROBOT_MOPPING,ROBOT,5,1000
ROBOT_VACUUMING,ROBOT,5,1000
SLEEP_POD_COTTON,SLEEP_POD,5,1000
SLEEP_POD_LAMB_WOOL,SLEEP_POD,5,1000
SLEEP_POD_NYLON,SLEEP_POD,5,1000
SLEEP_POD_POLYESTER,SLEEP_POD,5,1000
SLEEP_POD_SUEDE,SLEEP_POD,5,1000
SNACKPACK_CHOCOLATE,SNACKPACK,5,1000
SNACKPACK_PISTACHIO,SNACKPACK,5,1000
SNACKPACK_RASPBERRY,SNACKPACK,5,1000
SNACKPACK_STRAWBERRY,SNACKPACK,5,1000
SNACKPACK_VANILLA,SNACKPACK,5,1000
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,5,1000
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,5,1000
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,5,1000
TRANSLATOR_SPACE_GRAY,TRANSLATOR,5,1000
TRANSLATOR_VOID_BLUE,TRANSLATOR,5,1000
UV_VISOR_AMBER,UV_VISOR,5,1000
UV_VISOR_MAGENTA,UV_VISOR,5,1000
UV_VISOR_ORANGE,UV_VISOR,5,1000
UV_VISOR_RED,UV_VISOR,5,1000
UV_VISOR_YELLOW,UV_VISOR,5,1000
