strategy,tool,suite,capped,category,pnl
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,GALAXY_SOUNDS,17006.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,SLEEP_POD,11466.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,TRANSLATOR,12329.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,SNACKPACK,2939.5
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,PANEL,18350.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,MICROCHIP,15785.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,UV_VISOR,12763.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,ROBOT,5246.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,OXYGEN_SHAKE,9256.5
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,PEBBLES,23279.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,GALAXY_SOUNDS,17006.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,MICROCHIP,15785.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,OXYGEN_SHAKE,9256.5
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,PANEL,18350.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,PEBBLES,23279.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,ROBOT,5246.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,SLEEP_POD,11466.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,SNACKPACK,2939.5
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,TRANSLATOR,12329.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,UV_VISOR,12763.0
