activity_count,days,events,horizon,mark,product,quantity,score,sign_agreement,total_signed_markout
263,3,263,100,Mark 01,VEV_5400,911.0,-0.029637760702524697,1.0,-27.0
276,3,276,100,Mark 22,VEV_5400,959.0,0.0443169968717414,1.0,42.5
299,3,299,100,Mark 01,VEV_5500,1042.0,-0.02015355086372361,1.0,-21.0
306,3,306,100,Mark 22,VEV_5500,1069.0,0.025724976613657625,1.0,27.5
317,3,317,100,Mark 01,VEV_6000,1105.0,0.0,1.0,0.0
317,3,317,100,Mark 22,VEV_6000,1105.0,0.0,1.0,0.0
317,3,317,100,Mark 01,VEV_6500,1105.0,0.0,1.0,0.0
317,3,317,100,Mark 22,VEV_6500,1105.0,0.0,1.0,0.0
1022,3,1022,100,Mark 38,HYDROGEL_PACK,4096.0,-0.1280517578125,1.0,-524.5
19,3,19,100,Mark 22,HYDROGEL_PACK,74.0,-3.081081081081081,1.0,-228.0
442,3,442,100,Mark 38,VEV_4000,876.0,0.07248858447488585,0.6666666666666666,63.5
439,3,439,100,Mark 14,VEV_4000,870.0,-0.029885057471264367,0.6666666666666666,-26.0
1198,3,1198,100,Mark 55,VELVETFRUIT_EXTRACT,6551.0,0.021370783086551673,0.6666666666666666,140.0
504,3,504,100,Mark 01,VELVETFRUIT_EXTRACT,2792.0,0.22976361031518625,1.0,641.5
1003,3,1003,100,Mark 14,HYDROGEL_PACK,4022.0,0.18709597215315762,1.0,752.5
122,3,122,100,Mark 49,VELVETFRUIT_EXTRACT,1186.0,-1.9102023608768972,1.0,-2265.5
165,3,165,100,Mark 67,VELVETFRUIT_EXTRACT,1510.0,2.0026490066225167,1.0,3024.0
132,3,132,100,Mark 01,VEV_5300,439.0,-0.11161731207289294,1.0,-49.0
164,3,164,100,Mark 22,VEV_5300,548.0,0.1332116788321168,1.0,73.0
126,3,126,100,Mark 22,VELVETFRUIT_EXTRACT,843.0,-1.2502965599051008,1.0,-1054.0
647,3,647,100,Mark 14,VELVETFRUIT_EXTRACT,3524.0,-0.13791146424517595,1.0,-486.0
7,3,7,100,Mark 14,VEV_5500,27.0,-0.24074074074074073,1.0,-6.5
30,3,30,100,Mark 14,VEV_5300,105.0,-0.2523809523809524,1.0,-26.5
13,3,13,100,Mark 14,VEV_5400,48.0,-0.3229166666666667,1.0,-15.5
33,3,33,100,Mark 14,VEV_5200,122.0,0.0942622950819672,0.6666666666666666,11.5
47,3,47,100,Mark 22,VEV_5200,162.0,-0.10185185185185185,1.0,-16.5
3,2,3,100,Mark 22,VEV_4000,6.0,-6.25,1.0,-37.5
3,2,3,100,Mark 38,VEV_4500,6.0,4.666666666666667,1.0,28.0
3,2,3,100,Mark 22,VEV_4500,6.0,-4.666666666666667,1.0,-28.0
3,2,3,100,Mark 38,VEV_5000,6.0,1.4166666666666667,1.0,8.5
3,2,3,100,Mark 22,VEV_5000,6.0,-1.4166666666666667,1.0,-8.5
3,2,3,100,Mark 38,VEV_5100,6.0,1.25,1.0,7.5
3,2,3,100,Mark 22,VEV_5100,6.0,-1.25,1.0,-7.5
3,2,3,100,Mark 38,VEV_5200,6.0,0.6666666666666666,1.0,4.0
2,2,2,100,Mark 38,VEV_5300,4.0,0.625,1.0,2.5
11,1,11,100,Mark 01,VEV_5200,34.0,0.029411764705882353,1.0,1.0
263,3,263,500,Mark 01,VEV_5400,911.0,-0.009879253567508232,0.6666666666666666,-9.0
276,3,276,500,Mark 22,VEV_5400,959.0,0.029718456725755994,1.0,28.5
299,3,299,500,Mark 01,VEV_5500,1042.0,-0.015355086372360844,0.6666666666666666,-16.0
306,3,306,500,Mark 22,VEV_5500,1069.0,0.023386342376052385,1.0,25.0
317,3,317,500,Mark 01,VEV_6000,1105.0,0.0,1.0,0.0
317,3,317,500,Mark 22,VEV_6000,1105.0,0.0,1.0,0.0
317,3,317,500,Mark 01,VEV_6500,1105.0,0.0,1.0,0.0
317,3,317,500,Mark 22,VEV_6500,1105.0,0.0,1.0,0.0
1022,3,1022,500,Mark 38,HYDROGEL_PACK,4096.0,-0.1038818359375,0.6666666666666666,-425.5
19,3,19,500,Mark 22,HYDROGEL_PACK,74.0,-2.939189189189189,1.0,-217.5
442,3,442,500,Mark 38,VEV_4000,876.0,0.18550228310502284,0.6666666666666666,162.5
439,3,439,500,Mark 14,VEV_4000,870.0,-0.16436781609195403,0.6666666666666666,-143.0
1198,3,1198,500,Mark 55,VELVETFRUIT_EXTRACT,6551.0,0.06487559151274615,0.6666666666666666,425.0
504,3,504,500,Mark 01,VELVETFRUIT_EXTRACT,2792.0,0.15741404011461319,0.6666666666666666,439.5
1003,3,1003,500,Mark 14,HYDROGEL_PACK,4022.0,0.15987071108901044,0.6666666666666666,643.0
122,3,122,500,Mark 49,VELVETFRUIT_EXTRACT,1186.0,-1.869308600337268,1.0,-2217.0
165,3,165,500,Mark 67,VELVETFRUIT_EXTRACT,1510.0,1.9549668874172186,1.0,2952.0
