segment,product,horizon,buyer,seller,events,quantity,buyer_direction_score,family
late,VEV_4000,500,Mark 14,Mark 38,223,439.0,-0.2266514806378132,static_short
late,VEV_4000,500,Mark 22,Mark 38,1,3.0,-1.5,static_short
late,VEV_4000,500,Mark 38,Mark 14,196,388.0,0.16494845360824742,static_short
late,VEV_4000,500,Mark 38,Mark 22,2,3.0,5.0,static_short
late,VEV_4000,1000,Mark 14,Mark 38,223,439.0,-0.022779043280182234,static_short
late,VEV_4000,1000,Mark 22,Mark 38,1,3.0,-1.0,static_short
late,VEV_4000,1000,Mark 38,Mark 14,196,388.0,0.27319587628865977,static_short
late,VEV_4000,1000,Mark 38,Mark 22,2,3.0,2.5,static_short
late,VEV_4000,5000,Mark 14,Mark 38,222,437.0,-0.511441647597254,static_short
late,VEV_4000,5000,Mark 22,Mark 38,1,3.0,8.0,static_short
late,VEV_4000,5000,Mark 38,Mark 14,194,382.0,-0.12303664921465969,static_short
late,VEV_4000,5000,Mark 38,Mark 22,2,3.0,3.1666666666666665,static_short
late,VEV_4000,10000,Mark 14,Mark 38,222,437.0,-0.04233409610983982,static_short
late,VEV_4000,10000,Mark 22,Mark 38,1,3.0,12.0,static_short
late,VEV_4000,10000,Mark 38,Mark 14,192,376.0,-0.0625,static_short
late,VEV_4000,10000,Mark 38,Mark 22,2,3.0,12.5,static_short
late,VEV_4000,20000,Mark 14,Mark 38,221,435.0,-0.4896551724137931,static_short
late,VEV_4000,20000,Mark 22,Mark 38,1,3.0,15.0,static_short
late,VEV_4000,20000,Mark 38,Mark 14,192,376.0,-0.0425531914893617,static_short
late,VEV_4000,20000,Mark 38,Mark 22,2,3.0,12.666666666666666,static_short
late,VEV_4000,40000,Mark 14,Mark 38,215,423.0,-1.198581560283688,static_short
late,VEV_4000,40000,Mark 22,Mark 38,1,3.0,2.0,static_short
late,VEV_4000,40000,Mark 38,Mark 14,187,367.0,0.9877384196185286,static_short
late,VEV_4000,40000,Mark 38,Mark 22,2,3.0,17.833333333333332,static_short
late,VEV_4500,500,Mark 22,Mark 38,1,3.0,0.0,static_short
late,VEV_4500,500,Mark 38,Mark 22,2,3.0,3.1666666666666665,static_short
late,VEV_4500,1000,Mark 22,Mark 38,1,3.0,0.5,static_short
late,VEV_4500,1000,Mark 38,Mark 22,2,3.0,1.0,static_short
late,VEV_4500,5000,Mark 22,Mark 38,1,3.0,9.0,static_short
late,VEV_4500,5000,Mark 38,Mark 22,2,3.0,1.5,static_short
late,VEV_4500,10000,Mark 22,Mark 38,1,3.0,13.0,static_short
late,VEV_4500,10000,Mark 38,Mark 22,2,3.0,10.5,static_short
late,VEV_4500,20000,Mark 22,Mark 38,1,3.0,16.0,static_short
late,VEV_4500,20000,Mark 38,Mark 22,2,3.0,10.833333333333334,static_short
late,VEV_4500,40000,Mark 22,Mark 38,1,3.0,3.5,static_short
late,VEV_4500,40000,Mark 38,Mark 22,2,3.0,16.833333333333332,static_short
late,VEV_5000,500,Mark 22,Mark 38,1,3.0,2.5,active_mid
late,VEV_5000,500,Mark 38,Mark 22,2,3.0,0.8333333333333334,active_mid
late,VEV_5000,1000,Mark 22,Mark 38,1,3.0,3.5,active_mid
late,VEV_5000,1000,Mark 38,Mark 22,2,3.0,-1.6666666666666667,active_mid
late,VEV_5000,5000,Mark 22,Mark 38,1,3.0,11.5,active_mid
late,VEV_5000,5000,Mark 38,Mark 22,2,3.0,-0.6666666666666666,active_mid
late,VEV_5000,10000,Mark 22,Mark 38,1,3.0,15.5,active_mid
late,VEV_5000,10000,Mark 38,Mark 22,2,3.0,8.0,active_mid
late,VEV_5000,20000,Mark 22,Mark 38,1,3.0,18.5,active_mid
late,VEV_5000,20000,Mark 38,Mark 22,2,3.0,8.333333333333334,active_mid
late,VEV_5000,40000,Mark 22,Mark 38,1,3.0,6.0,active_mid
late,VEV_5000,40000,Mark 38,Mark 22,2,3.0,13.333333333333334,active_mid
late,VEV_5100,500,Mark 22,Mark 38,1,3.0,2.5,active_mid
late,VEV_5100,500,Mark 38,Mark 22,2,3.0,0.3333333333333333,active_mid
late,VEV_5100,1000,Mark 22,Mark 38,1,3.0,3.0,active_mid
late,VEV_5100,1000,Mark 38,Mark 22,2,3.0,-1.3333333333333333,active_mid
late,VEV_5100,5000,Mark 22,Mark 38,1,3.0,10.5,active_mid
late,VEV_5100,5000,Mark 38,Mark 22,2,3.0,-0.6666666666666666,active_mid
late,VEV_5100,10000,Mark 22,Mark 38,1,3.0,13.5,active_mid
late,VEV_5100,10000,Mark 38,Mark 22,2,3.0,6.666666666666667,active_mid
late,VEV_5100,20000,Mark 22,Mark 38,1,3.0,16.5,active_mid
late,VEV_5100,20000,Mark 38,Mark 22,2,3.0,6.833333333333333,active_mid
late,VEV_5100,40000,Mark 22,Mark 38,1,3.0,5.5,active_mid
late,VEV_5100,40000,Mark 38,Mark 22,2,3.0,11.333333333333334,active_mid
late,VEV_5200,500,Mark 01,Mark 22,11,34.0,0.07352941176470588,static_short
