segment,product,horizon,mark,events,quantity,score,total_signed_markout,days,sign_agreement,family
late,VEV_4000,500,Mark 14,419,827.0,-0.1977025392986699,-163.5,3,1.0,static_short
late,VEV_4000,500,Mark 22,3,6.0,-3.25,-19.5,2,1.0,static_short
late,VEV_4000,500,Mark 38,422,833.0,0.21968787515006002,183.0,3,1.0,static_short
late,VEV_4000,1000,Mark 14,419,827.0,-0.14026602176541716,-116.0,3,0.3333333333333333,static_short
late,VEV_4000,1000,Mark 22,3,6.0,-1.75,-10.5,2,1.0,static_short
late,VEV_4000,1000,Mark 38,422,833.0,0.1518607442977191,126.5,3,0.3333333333333333,static_short
late,VEV_4000,5000,Mark 14,416,819.0,-0.21550671550671552,-176.5,3,0.6666666666666666,static_short
late,VEV_4000,5000,Mark 22,3,6.0,2.4166666666666665,14.5,2,0.5,static_short
late,VEV_4000,5000,Mark 38,419,825.0,0.19636363636363635,162.0,3,0.6666666666666666,static_short
late,VEV_4000,10000,Mark 14,414,813.0,0.006150061500615006,5.0,3,0.6666666666666666,static_short
late,VEV_4000,10000,Mark 22,3,6.0,-0.25,-1.5,2,0.5,static_short
late,VEV_4000,10000,Mark 38,417,819.0,-0.004273504273504274,-3.5,3,0.6666666666666666,static_short
late,VEV_4000,20000,Mark 14,413,811.0,-0.24290998766954378,-197.0,3,0.6666666666666666,static_short
late,VEV_4000,20000,Mark 22,3,6.0,1.1666666666666667,7.0,2,0.5,static_short
late,VEV_4000,20000,Mark 38,416,817.0,0.23255813953488372,190.0,3,0.6666666666666666,static_short
late,VEV_4000,40000,Mark 14,402,790.0,-1.1006329113924052,-869.5,3,1.0,static_short
late,VEV_4000,40000,Mark 22,3,6.0,-7.916666666666667,-47.5,2,1.0,static_short
late,VEV_4000,40000,Mark 38,405,796.0,1.1520100502512562,917.0,3,1.0,static_short
late,VEV_4500,500,Mark 22,3,6.0,-1.5833333333333333,-9.5,2,1.0,static_short
late,VEV_4500,500,Mark 38,3,6.0,1.5833333333333333,9.5,2,1.0,static_short
late,VEV_4500,1000,Mark 22,3,6.0,-0.25,-1.5,2,0.5,static_short
late,VEV_4500,1000,Mark 38,3,6.0,0.25,1.5,2,0.5,static_short
late,VEV_4500,5000,Mark 22,3,6.0,3.75,22.5,2,0.5,static_short
late,VEV_4500,5000,Mark 38,3,6.0,-3.75,-22.5,2,0.5,static_short
late,VEV_4500,10000,Mark 22,3,6.0,1.25,7.5,2,0.5,static_short
late,VEV_4500,10000,Mark 38,3,6.0,-1.25,-7.5,2,0.5,static_short
late,VEV_4500,20000,Mark 22,3,6.0,2.5833333333333335,15.5,2,0.5,static_short
late,VEV_4500,20000,Mark 38,3,6.0,-2.5833333333333335,-15.5,2,0.5,static_short
late,VEV_4500,40000,Mark 22,3,6.0,-6.666666666666667,-40.0,2,1.0,static_short
late,VEV_4500,40000,Mark 38,3,6.0,6.666666666666667,40.0,2,1.0,static_short
late,VEV_5000,500,Mark 22,3,6.0,0.8333333333333334,5.0,2,0.5,active_mid
late,VEV_5000,500,Mark 38,3,6.0,-0.8333333333333334,-5.0,2,0.5,active_mid
late,VEV_5000,1000,Mark 22,3,6.0,2.5833333333333335,15.5,2,0.5,active_mid
late,VEV_5000,1000,Mark 38,3,6.0,-2.5833333333333335,-15.5,2,0.5,active_mid
late,VEV_5000,5000,Mark 22,3,6.0,6.083333333333333,36.5,2,0.5,active_mid
late,VEV_5000,5000,Mark 38,3,6.0,-6.083333333333333,-36.5,2,0.5,active_mid
late,VEV_5000,10000,Mark 22,3,6.0,3.75,22.5,2,0.5,active_mid
late,VEV_5000,10000,Mark 38,3,6.0,-3.75,-22.5,2,0.5,active_mid
late,VEV_5000,20000,Mark 22,3,6.0,5.083333333333333,30.5,2,0.5,active_mid
late,VEV_5000,20000,Mark 38,3,6.0,-5.083333333333333,-30.5,2,0.5,active_mid
late,VEV_5000,40000,Mark 22,3,6.0,-3.6666666666666665,-22.0,2,0.5,active_mid
late,VEV_5000,40000,Mark 38,3,6.0,3.6666666666666665,22.0,2,0.5,active_mid
late,VEV_5100,500,Mark 22,3,6.0,1.0833333333333333,6.5,2,1.0,active_mid
late,VEV_5100,500,Mark 38,3,6.0,-1.0833333333333333,-6.5,2,0.5,active_mid
late,VEV_5100,1000,Mark 22,3,6.0,2.1666666666666665,13.0,2,0.5,active_mid
late,VEV_5100,1000,Mark 38,3,6.0,-2.1666666666666665,-13.0,2,0.5,active_mid
late,VEV_5100,5000,Mark 22,3,6.0,5.583333333333333,33.5,2,0.5,active_mid
late,VEV_5100,5000,Mark 38,3,6.0,-5.583333333333333,-33.5,2,0.5,active_mid
late,VEV_5100,10000,Mark 22,3,6.0,3.4166666666666665,20.5,2,0.5,active_mid
late,VEV_5100,10000,Mark 38,3,6.0,-3.4166666666666665,-20.5,2,0.5,active_mid
late,VEV_5100,20000,Mark 22,3,6.0,4.833333333333333,29.0,2,0.5,active_mid
late,VEV_5100,20000,Mark 38,3,6.0,-4.833333333333333,-29.0,2,0.5,active_mid
late,VEV_5100,40000,Mark 22,3,6.0,-2.9166666666666665,-17.5,2,0.5,active_mid
late,VEV_5100,40000,Mark 38,3,6.0,2.9166666666666665,17.5,2,0.5,active_mid
late,VEV_5200,500,Mark 01,11,34.0,0.07352941176470588,2.5,1,1.0,static_short
late,VEV_5200,500,Mark 14,33,122.0,-0.29508196721311475,-36.0,3,0.6666666666666666,static_short
late,VEV_5200,500,Mark 22,47,162.0,0.23765432098765432,38.5,3,0.6666666666666666,static_short
late,VEV_5200,500,Mark 38,3,6.0,-0.8333333333333334,-5.0,2,0.5,static_short
late,VEV_5200,1000,Mark 01,11,34.0,1.25,42.5,1,1.0,static_short
late,VEV_5200,1000,Mark 14,33,122.0,-0.1885245901639344,-23.0,3,0.6666666666666666,static_short
late,VEV_5200,1000,Mark 22,47,162.0,-0.05864197530864197,-9.5,3,0.6666666666666666,static_short
late,VEV_5200,1000,Mark 38,3,6.0,-1.6666666666666667,-10.0,2,0.5,static_short
late,VEV_5200,5000,Mark 01,11,34.0,2.7941176470588234,95.0,1,1.0,static_short
late,VEV_5200,5000,Mark 14,33,122.0,-0.0942622950819672,-11.5,3,0.6666666666666666,static_short
late,VEV_5200,5000,Mark 22,47,162.0,-0.3611111111111111,-58.5,3,0.6666666666666666,static_short
late,VEV_5200,5000,Mark 38,3,6.0,-4.166666666666667,-25.0,2,0.5,static_short
late,VEV_5200,10000,Mark 01,11,34.0,3.6470588235294117,124.0,1,1.0,static_short
late,VEV_5200,10000,Mark 14,33,122.0,-0.3360655737704918,-41.0,3,0.6666666666666666,static_short
late,VEV_5200,10000,Mark 22,47,162.0,-0.41358024691358025,-67.0,3,0.6666666666666666,static_short
late,VEV_5200,10000,Mark 38,3,6.0,-2.6666666666666665,-16.0,2,0.5,static_short
late,VEV_5200,20000,Mark 01,11,34.0,4.75,161.5,1,1.0,static_short
late,VEV_5200,20000,Mark 14,32,117.0,0.3504273504273504,41.0,3,0.6666666666666666,static_short
late,VEV_5200,20000,Mark 22,46,157.0,-1.1656050955414012,-183.0,3,0.6666666666666666,static_short
late,VEV_5200,20000,Mark 38,3,6.0,-3.25,-19.5,2,0.5,static_short
late,VEV_5200,40000,Mark 01,11,34.0,8.808823529411764,299.5,1,1.0,static_short
late,VEV_5200,40000,Mark 14,32,117.0,0.717948717948718,84.0,3,0.3333333333333333,static_short
late,VEV_5200,40000,Mark 22,46,157.0,-2.5254777070063694,-396.5,3,0.6666666666666666,static_short
late,VEV_5200,40000,Mark 38,3,6.0,2.1666666666666665,13.0,2,0.5,static_short
late,VEV_5300,500,Mark 01,125,416.0,-0.13581730769230768,-56.5,3,1.0,static_short
late,VEV_5300,500,Mark 14,30,105.0,-0.46190476190476193,-48.5,3,0.6666666666666666,static_short
late,VEV_5300,500,Mark 22,157,525.0,0.2019047619047619,106.0,3,1.0,static_short
late,VEV_5300,500,Mark 38,2,4.0,-0.25,-1.0,2,0.5,static_short
late,VEV_5300,1000,Mark 01,125,416.0,-0.12379807692307693,-51.5,3,1.0,static_short
late,VEV_5300,1000,Mark 14,30,105.0,-0.16666666666666666,-17.5,3,0.3333333333333333,static_short
late,VEV_5300,1000,Mark 22,157,525.0,0.1361904761904762,71.5,3,1.0,static_short
late,VEV_5300,1000,Mark 38,2,4.0,-0.625,-2.5,2,0.5,static_short
